ChapterNumber,CharCountDiff,LevDistance,Link,ParaBreakdown,Title
CAPI04450,1.0,5.0,View changes,[[]],CAPI04450 Discrepancies Affecting The CAP Charge
CAPI04500,1.0,5.0,View changes,[[]],CAPI04500 Further Information
CAPI05000,1.0,6.0,View changes,[[]],CAPI05000 Import Procedures: Contents
CAPI05050,1.0,7.0,View changes,[[]],CAPI05050 Place Of Discharge
CAPI05100,1.0,5.0,View changes,[[]],CAPI05100 Acceptance Of Declarations
CAPI05150,1.0,7.0,View changes,[[]],CAPI05150 Checking Of Declarations
CAPI05200,1.0,5.0,View changes,[[]],CAPI05200 Substitute Declarations
CAPI05250,1.0,5.0,View changes,[[]],CAPI05250 CAP Licences
CAPI05300,1.0,5.0,View changes,[[]],CAPI05300 Potential Offence Cases
CAPI05350,1.0,4.0,View changes,[[]],CAPI05350 Reporting Of Irregularities
CAPI06000,1.0,5.0,View changes,[[]],CAPI06000 Control Procedures On Miscellaneous CAP Importations: Contents
CAPI06050,1.0,5.0,View changes,[[]],CAPI06050 Goods In Transit Or Transhipment
CAPI06100,1.0,6.0,View changes,[[]],CAPI06100 End-Use And Use/Destination Control
CAPI06150,1.0,7.0,View changes,[[]],CAPI06150 Re-Imports After Processing Abroad
CAPI06200,1.0,5.0,View changes,[[]],CAPI06200 Returned Goods Relief (RGR)
CAPI06250,1.0,7.0,View changes,[[]],CAPI06250 Temporarily Imported Goods
CAPI06300,1.0,5.0,View changes,[[]],CAPI06300 Processing Under Customs Control (PCC)
CAPI06350,1.0,5.0,View changes,[[]],CAPI06350 Customs Warehousing (CW)
CAPI06400,1.0,5.0,View changes,[[]],CAPI06400 Free Zones
CAPI07000,1.0,5.0,View changes,[[]],CAPI07000 CAP Import Licences: Contents
CAPI07050,1.0,4.0,View changes,[[]],CAPI07050 General
CAPI07100,1.0,5.0,View changes,[[]],CAPI07100 CAP Licences
CCM15000,0.0,4.0,View changes,[[]],CCM15000 Chapter 15 - Undisclosed Partners: Contents
CCM15010,0.0,4.0,View changes,[[]],CCM15010 Claims To Tax Credits
CCM15025,0.0,6.0,View changes,[[]],CCM15025 Prohibited Relationships
CCM15310,0.0,4.0,View changes,[[]],CCM15310 Same-Sex Couples - Incorrect Claims
CFM11080,0.0,3.0,View changes,[[]],CFM11080 The Cost Of Borrowing
CFM11110,0.0,3.0,View changes,[[]],CFM11110 The Cost Of Borrowing: Hybrid Debt
CFM11120,0.0,3.0,View changes,[[]],CFM11120 Alternative Finance
CFM1160,0.0,3.0,View changes,[[]],CFM1160 Converting From The Old Corporate Finance Manual
CFM12070,0.0,3.0,View changes,[[]],CFM12070 Exchange Rates Used In Company Accounts
CFM13110,0.0,3.0,View changes,[[]],CFM13110 Types Of Derivative
CFM13280,0.0,3.0,View changes,[[]],CFM13280 Interest Rate Risk
CFM13330,0.0,3.0,View changes,[[]],CFM13330 Interest Rate Options
CFM13340,0.0,3.0,View changes,[[]],CFM13340 Interest Rate Caps And Floors
CFM13360,0.0,3.0,View changes,[[]],CFM13360 Credit Risk
CFM13390,0.0,3.0,View changes,[[]],CFM13390 Foreign Exchange Risk
CFM13400,0.0,1.0,View changes,[[]],CFM13400 Hedging Foreign Exchange Risk
CFM13440,54.0,55.0,View changes,[[]],CFM13440 Commodity Risk
CFM21010,0.0,2.0,View changes,[[]],CFM21010 Overview
CFM21030,0.0,2.0,View changes,[[]],CFM21030 Terms Used In Guidance
CFM21060,0.0,2.0,View changes,[[]],"CFM21060 Financial Instrument, Financial Assets, Financial Liabilities"
CFM21100,0.0,2.0,View changes,[[]],CFM21100 Equity Instrument
CFM21170,0.0,2.0,View changes,[[]],CFM21170 Amortised Cost
CFM21220,0.0,2.0,View changes,[[]],CFM21220 Liability And Equity: Overview
CFM21240,0.0,2.0,View changes,[[]],CFM21240 Liability And Equity: Derivatives Not Classified As Equity
CFM21260,0.0,2.0,View changes,[[]],CFM21260 Liability And Equity: Compound Financial Instruments: Accounting Treatment
CFM21300,0.0,2.0,View changes,[[]],CFM21300 Offsetting: Overview
CFM21505,0.0,2.0,View changes,[[]],CFM21505 International Financial Reporting Standards: Overview
CFM21506,1.0,3.0,View changes,"[[['t17', 1, '33.33%']]]",CFM21506 International Financial Reporting Standards: History Of IAS 32 And IAS 39
CFM21520,0.0,2.0,View changes,[[]],CFM21520 International Financial Reporting Standards: IAS 39: Classification Of Financial Assets And Financial Liabilities
CFM21610,0.0,2.0,View changes,[[]],CFM21610 International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets
CFM21640,0.0,2.0,View changes,[[]],CFM21640 Accounting For Corporate Finance: International Accounting Standards: IAS 39: Measurement Of Financial Assets: Amortised Cost
CFM21670,0.0,2.0,View changes,[[]],CFM21670 International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets: Impairment
CFM22510,4.0,5.0,View changes,"[[['t2', 1, '20.0%'], ['t4', 1, '20.0%'], ['t5', 1, '20.0%'], ['t6', 1, '20.0%']]]",CFM22510 Borrowers: Accounting Standards Overview
CFM22520,14.0,15.0,View changes,"[[['t2', 1, '6.67%'], ['t4', 1, '6.67%'], ['t5', 1, '6.67%'], ['t8', 1, '6.67%'], ['t9', 1, '6.67%'], ['t10', 1, '6.67%'], ['t11', 1, '6.67%'], ['t12', 1, '6.67%'], ['t13', 1, '6.67%'], ['t14', 1, '6.67%'], ['t15', 1, '6.67%'], ['t16', 1, '6.67%'], ['t17', 1, '6.67%'], ['t18', 1, '6.67%']]]",CFM22520 Borrowers: Accounting Standards: FRS 4
CFM22530,2.0,3.0,View changes,"[[['t2', 1, '33.33%'], ['t3', 1, '33.33%']]]",CFM22530 Borrowers: Accruals Accounting
CFM23010,0.0,1.0,View changes,[[]],CFM23010 FRS 102: Overview
CFM23015,6.0,7.0,View changes,"[[['t1', 1, '14.29%'], ['t2', 1, '14.29%'], ['t3', 1, '14.29%'], ['t4', 1, '14.29%'], ['t5', 1, '14.29%'], ['t6', 1, '14.29%']]]",CFM23015 FRS 102: History Of FRS 102
CFM23045,3.0,5.0,View changes,"[[['t2', 1, '20.0%'], ['t3', 1, '20.0%'], ['t4', 1, '20.0%']]]",CFM23045 FRS 102: Measurement Of Basic Financial Instruments: Amortised Cost
CFM23068,1.0,3.0,View changes,"[[['t1', 1, '33.33%']]]",CFM23068 FRS 102: Impairment: Accounting Treatment
CFM23075,1.0,3.0,View changes,"[[['t5', 1, '33.33%']]]",CFM23075 FRS 102: Derecognition Of A Financial Asset
CFM23078,2.0,4.0,View changes,"[[['t1', 1, '25.0%'], ['t2', 1, '25.0%']]]",CFM23078 FRS 102: Derecognition Of A Financial Liability
CFM24200,0.0,2.0,View changes,[[]],CFM24200 What Is A Derivative Financial Instrument?
CFM24300,1.0,3.0,View changes,"[[['t2', 1, '33.33%']]]","CFM24300 Accounting For Derivatives Under IFRS, New UK GAAP And FRS 26"
CFM24430,3.0,5.0,View changes,"[[['t2', 1, '20.0%'], ['t5', 1, '20.0%'], ['t6', 1, '20.0%']]]",CFM24430 Accounting For Interest Rate Swaps Held To Manage Interest Rate Risk Under Old UK GAAP (Excluding FRS 26)
CFM25080,0.0,2.0,View changes,[[]],CFM25080 Comparison Of Compound And Hybrid Financial Instruments
CFM26015,0.0,2.0,View changes,[[]],"CFM26015 Summary Of Differences Between SSAP 20 And FRS 23, IFRS And New UK GAAP"
CFM26030,0.0,2.0,View changes,[[]],CFM26030 Basic Principles: Initial Recognition Of Transactions
CFM26050,2.0,4.0,View changes,"[[['t4', 1, '25.0%'], ['t7', 1, '25.0%']]]",CFM26050 Basic Principles: Profit And Loss Account
CFM26060,0.0,2.0,View changes,[[]],CFM26060 SSAP 20: Recognition And The Accruals Concept
CFM26080,3.0,5.0,View changes,"[[['t2', 1, '20.0%'], ['t6', 1, '20.0%'], ['t12', 1, '20.0%']]]",CFM26080 SSAP 20: Hedging A Trading Transaction With A Forward Contract
CFM26090,1.0,3.0,View changes,"[[['t6', 1, '33.33%']]]",CFM26090 SSAP 20: Hedging A Non-Trading Transaction
CFM26100,0.0,2.0,View changes,[[]],CFM26100 SSAP 20: Speculative Currency Contracts
CFM26270,0.0,2.0,View changes,[[]],CFM26270 Foreign Operations: Temporal Method
CFM26290,29.0,31.0,View changes,[[]],CFM26290 Foreign Operations: Temporal Method: When To Use
CFM27015,1.0,3.0,View changes,"[[['t4', 1, '33.33%']]]",CFM27015 Hedging: Development Of Hedge Accounting
CFM30110,0.0,2.0,View changes,[[]],CFM30110 A Brief History And A Short Guide
CFM30140,0.0,2.0,View changes,[[]],CFM30140 The Meaning Of ‘Loan Relationship’
CFM33120,0.0,2.0,View changes,[[]],CFM33120 GAAP: Amounts ‘Not Fully Recognised’ For Accounting Purposes
CFM33160,3053.0,7939.0,View changes,"[[['t1', 488, '6.15%'], ['t2', 431, '5.43%'], ['t3', 521, '6.56%'], ['t4', 586, '7.38%'], ['t5', 465, '5.86%'], ['t6', 505, '6.36%'], ['t7', 711, '8.96%'], ['t8', 203, '2.56%'], ['t9', 72, '0.91%'], ['t10', 95, '1.2%'], ['t11', 156, '1.96%'], ['t12', 437, '5.5%'], ['t13', 256, '3.22%'], ['t14', 319, '4.02%']]]",CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability
CFM33170,0.0,2.0,View changes,[[]],CFM33170 GAAP: Amounts In Equity
CFM33204,0.0,2.0,View changes,[[]],CFM33204 Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: ‘Entitlement To Shares’
CFM33205,0.0,2.0,View changes,[[]],CFM33205 Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: Debt For Equity Swaps On Or After 9 November 2009
CFM33280,0.0,2.0,View changes,[[]],CFM33280 Company Ceasing To Be Party To A Loan Relationship
CFM35010,0.0,2.0,View changes,[[]],CFM35010 Overview
CFM35030,0.0,2.0,View changes,[[]],CFM35030 A Summary Of The Key Rules
CFM35100,0.0,2.0,View changes,[[]],CFM35100 Connected Companies: Contents
CFM35120,0.0,2.0,View changes,[[]],CFM35120 Connected Companies: What Is Control?
CFM35170,0.0,2.0,View changes,[[]],CFM35170 Connected Companies: Use Of The Amortised Cost Basis
CFM35420,0.0,2.0,View changes,[[]],CFM35420 Debtors
CFM35440,0.0,2.0,View changes,[[]],CFM35440 Debtors: Deemed Releases Of Impaired Debt: Tax Treatment
CFM35540,0.0,2.0,View changes,[[]],CFM35540 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Corporate Rescue Exception
CFM35560,0.0,3.0,View changes,[[]],CFM35560 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Equity-For-Debt Exception
CFM35590,0.0,4.0,View changes,[[]],CFM35590 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 27 February 2012: Anti-Avoidance
CFM35660,0.0,4.0,View changes,[[]],CFM35660 Amount Of Restriction: Effect Of Releases
CFM35810,0.0,3.0,View changes,[[]],CFM35810 Overview
CFM35860,0.0,3.0,View changes,[[]],CFM35860 The Four Cases
CFM36080,0.0,3.0,View changes,[[]],CFM36080 Partnerships: Company Partners And Connected Debtors
CFM37320,0.0,4.0,View changes,[[]],CFM37320 Special And Close Companies: Aps Beginning On Or After 1 April 2009
CFM37480,0.0,2.0,View changes,[[]],CFM37480 When HMRC Will Satisfy A Repayment Claim Using Funding Bonds
CFM37610,0.0,2.0,View changes,[[]],CFM37610 ‘Hybrid’ Securities With Embedded Derivatives: Overview
CFM37620,0.0,2.0,View changes,[[]],CFM37620 ‘Hybrid’ Securities With Embedded Derivatives: What Is A ‘Hybrid Security’?
CFM37630,0.0,2.0,View changes,[[]],CFM37630 ‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Bifurcation
CFM37640,0.0,2.0,View changes,[[]],CFM37640 ‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Mechanics Of Bifurcation
CFM37690,0.0,4.0,View changes,[[]],CFM37690 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Securities - Holders
CFM37700,0.0,3.0,View changes,[[]],CFM37700 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Convertible Securities - Issuers
CFM37710,0.0,4.0,View changes,[[]],CFM37710 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Asset-Linked Securities - Issuers
CFM38020,0.0,3.0,View changes,[[]],CFM38020 Overview: Other Anti-Avoidance Rules
CFM38100,0.0,2.0,View changes,[[]],CFM38100 Unallowable Purpose: Contents
CFM38120,0.0,2.0,View changes,[[]],CFM38120 Definition
CFM38140,0.0,2.0,View changes,[[]],CFM38140 Tax Avoidance Purpose
CFM38510,0.0,3.0,View changes,[[]],CFM38510 Forex: Overview
CFM38570,0.0,3.0,View changes,[[]],CFM38570 Forex: Non-Arm’S Length Transactions: Non Arm's Length Creditor Relationships: Meaning Of ‘Corresponding Debtor Relationship’
CFM38580,0.0,3.0,View changes,[[]],CFM38580 Forex: Non-Arm’S Length Transactions: Non-Arm’S Length Creditor Relationships: Exception Where Loan Exceeds Arm’S Length Amount
CFM39000,0.0,3.0,View changes,[[]],CFM39000 Other Rules
CFM39010,0.0,3.0,View changes,[[]],CFM39010 Overview Of Other Anti-Avoidance Rules
CFM39030,0.0,3.0,View changes,[[]],CFM39030 Artificial Payments Of Interest: Sole Or Main Benefit
CFM39035,1.0,4.0,View changes,"[[['t1', 1, '25.0%']]]",CFM39035 Connected Parties Deriving Benefit From Creditor Relationships
CFM39050,0.0,2.0,View changes,[[]],CFM39050 Reset Bonds: Mirror Bond Scheme
CFM39110,0.0,2.0,View changes,[[]],CFM39110 Index-Linked Gilt-Edged Securities: Introduction
CFM39160,0.0,2.0,View changes,[[]],CFM39160 Index-Linked Gilt-Edged Securities: Economic Profits And Losses
CFM39170,0.0,2.0,View changes,[[]],CFM39170 Index-Linked Gilt-Edged Securities: The Relevant Group
CFM42040,0.0,2.0,View changes,[[]],CFM42040 The Main Rules
CFM42100,22.0,2748.0,View changes,"[[['t9', 1, '0.04%'], ['t10', 15, '0.55%'], ['t11', 7, '0.25%']]]",CFM42100 Exchange Gains And Losses
CFM43040,0.0,2.0,View changes,[[]],CFM43040 Qualifying Investments
CFM44210,0.0,2.0,View changes,[[]],CFM44210 Investment Bond Arrangements: Conditions: Accounting Test
CFM44230,0.0,2.0,View changes,[[]],CFM44230 Investment Bond Arrangements: Tax Treatment
CFM44300,2.0,4.0,View changes,"[[['t1', 1, '25.0%'], ['t2', 1, '25.0%']]]",CFM44300 Loan Relationships: Other Tax Rules: Distributions
CFM45080,0.0,2.0,View changes,[[]],CFM45080 Shares With Guaranteed Returns: Outstanding Third Party Obligations: Meaning Of Interest Like Investment
CFM45090,1.0,3.0,View changes,"[[['t4', 1, '33.33%']]]",CFM45090 Shares With Guaranteed Returns: Outstanding Third Party Obligations: Comparison With Commercial Rate Of Interest
CFM45150,0.0,2.0,View changes,[[]],CFM45150 Shares With Guaranteed Returns: Non-Qualifying Shares: The ‘Increasing Value Condition’
CFM45200,0.0,2.0,View changes,[[]],CFM45200 Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition
CFM45240,0.0,2.0,View changes,[[]],CFM45240 Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition: Unallowable Purposes Test
CFM45250,0.0,2.0,View changes,[[]],CFM45250 Shares With Guaranteed Returns: Non-Qualifying Shares: The Associated Transactions Condition
CFM46050,0.0,1.0,View changes,[[]],CFM46050 Manufactured Interest
CFM46350,54.0,56.0,View changes,[[]],CFM46350 Repos: Tax Rules: Debtor Repos
CFM46370,0.0,2.0,View changes,[[]],CFM46370 Repos: Tax Rules: Debtor Quasi-Repos: Examples
CFM46430,0.0,2.0,View changes,[[]],CFM46430 Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: No Income
CFM46440,0.0,2.0,View changes,[[]],CFM46440 Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: Gross-Paying
CFM50030,0.0,2.0,View changes,[[]],CFM50030 Derivative Contracts: Introduction: Scope
CFM50240,0.0,2.0,View changes,[[]],CFM50240 Commodity Contracts
CFM50730,0.0,2.0,View changes,[[]],CFM50730 Contracts Over Shares
CFM50740,3.0,5.0,View changes,"[[['t6', 1, '20.0%'], ['t7', 1, '20.0%'], ['t8', 1, '20.0%']]]",CFM50740 Share-Based Contracts Always Within Part 7
CFM50810,0.0,1.0,View changes,[[]],CFM50810 Equity Derivatives: Condition E
CFM51020,0.0,1.0,View changes,[[]],CFM51020 How Amounts Are Taxed
CFM52060,0.0,2.0,View changes,[[]],CFM52060 Statutory Insolvency Arrangements
CFM52510,0.0,2.0,View changes,[[]],CFM52510 Introduction
CFM55020,0.0,2.0,View changes,[[]],CFM55020 Overview
CFM55210,0.0,2.0,View changes,[[]],CFM55210 Holders Of Convertible Or Share-Linked Securities: Convertible Securities: Introduction
CFM55290,0.0,2.0,View changes,[[]],CFM55290 Holders Of Convertible Or Share-Linked Securities: Share-Linked Securities
CFM55410,0.0,2.0,View changes,[[]],CFM55410 Issuers Of Convertible Or Share-Linked Securities: Introduction
CFM55420,0.0,2.0,View changes,[[]],CFM55420 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Deemed Option
CFM55470,0.0,2.0,View changes,[[]],CFM55470 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Cfds
CFM55490,0.0,2.0,View changes,[[]],CFM55490 Issuers Of Convertible Or Share-Linked Securities: 'Exactly Tracking Contract' - Example
CFM55510,0.0,2.0,View changes,[[]],CFM55510 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Equity Instruments
CFM56005,0.0,1.0,View changes,[[]],CFM56005 Overview Of Anti-Avoidance Rules
CFM56020,4.0,5.0,View changes,"[[['t2', 1, '20.0%'], ['t3', 1, '20.0%'], ['t4', 1, '20.0%'], ['t5', 1, '20.0%']]]",CFM56020 Taxing Meaning Of ‘Unallowable Purpose’
CFM56030,2.0,3.0,View changes,"[[['t1', 1, '33.33%'], ['t9', 1, '33.33%']]]",CFM56030 Unallowable Purposes: Allowance Of Accumulated Net Losses
CFM56100,0.0,2.0,View changes,[[]],CFM56100 Consideration Not Fully Recognised By Accounting Practice
CFM57041,2.0,4.0,View changes,"[[['t2', 1, '25.0%'], ['t3', 1, '25.0%']]]",CFM57041 Hedging: Change In Election Approach
CFM57071,3.0,5.0,View changes,"[[['t1', 1, '20.0%'], ['t5', 1, '20.0%'], ['t7', 1, '20.0%']]]",CFM57071 Hedging: Default Approach
CFM57072,4.0,6.0,View changes,"[[['t1', 1, '16.67%'], ['t4', 1, '16.67%'], ['t5', 1, '16.67%'], ['t7', 1, '16.67%']]]",CFM57072 Hedging: Regulation 9A
CFM57075,5.0,7.0,View changes,"[[['t2', 1, '14.29%'], ['t4', 1, '14.29%'], ['t5', 1, '14.29%'], ['t8', 1, '14.29%'], ['t9', 1, '14.29%']]]","CFM57075 Hedging: Overview Of Regulations 7, 8 And 9"
CFM57220,0.0,2.0,View changes,[[]],CFM57220 Hedging: Regulation 10: Examples
CFM57280,0.0,2.0,View changes,[[]],CFM57280 Hedging: Regulation 10: Ignoring Recycling
CFM57300,0.0,2.0,View changes,[[]],CFM57300 Hedging: Regulation 9: Scope
CFM57371,1.0,3.0,View changes,"[[['t8', 1, '33.33%']]]",CFM57371 Hedging: Anti-Avoidance
CFM61120,0.0,2.0,View changes,[[]],CFM61120 Loan Relationships And Derivative Contracts: Giving Effect To Exchange Differences
CFM61140,0.0,2.0,View changes,[[]],CFM61140 Loan Relationships And Derivative Contracts: Exchange Differences In Reserves
CFM62210,0.0,2.0,View changes,[[]],CFM62210 Matching Under SSAP 20: Overview
CFM62230,0.0,2.0,View changes,[[]],CFM62230 Matching Under SSAP 20: Mandatory Matching For Tax Purposes
CFM62240,0.0,2.0,View changes,[[]],CFM62240 Matching Under SSAP 20: Use Of Currency Contracts
CFM62810,0.0,3.0,View changes,[[]],CFM62810 Bringing Amounts Back Into Account
CFM63010,0.0,3.0,View changes,[[]],CFM63010 Matching: Anti-Avoidance: ‘One-Way Bet’ Schemes: Overview
CFM63150,0.0,3.0,View changes,[[]],CFM63150 Matching: Anti-Avoidance: FA 2009: ‘One Way Exchange Effect’: Meaning Of ‘Amounts A And B’
CFM72380,0.0,2.0,View changes,[[]],CFM72380 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Note-Issuing Company
CFM72410,0.0,2.0,View changes,[[]],CFM72410 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Asset-Holding Company
CFM72450,0.0,2.0,View changes,[[]],CFM72450 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Warehouse Companies
CFM72570,0.0,2.0,View changes,[[]],CFM72570 Securitisation: Periods Beginning On Or After 1 January 2007: The Unallowable Purposes Rule
CFM72610,0.0,2.0,View changes,[[]],CFM72610 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Corporation Tax Charge: Applies Instead Of The Normal CT Rules
CFM72620,0.0,2.0,View changes,[[]],CFM72620 Securitisation: Periods Beginning On Or After 1 January 2007: Modifications To Commencement And Cessation Rules
CFM72650,0.0,2.0,View changes,[[]],CFM72650 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Modifications To Other Tax Rules: Capital Assets
CFM73160,0.0,2.0,View changes,[[]],CFM73160 Finance Charges
CFM73240,0.0,2.0,View changes,[[]],CFM73240 Partnership Finance Charges
CFM74310,0.0,2.0,View changes,[[]],CFM74310 Introduction
CFM74320,0.0,2.0,View changes,[[]],CFM74320 Taxation
CFM74330,0.0,2.0,View changes,[[]],CFM74330 Unallowable Purpose
CFM74430,0.0,2.0,View changes,[[]],CFM74430 Payments Made On Or After 1 January 2014: Introduction
CFM76040,0.0,2.0,View changes,[[]],CFM76040 Transition To IAS: Cases Where There Is No Prior Period Adjustment: Meaning Of ‘Carrying Value’
CFM77510,0.0,2.0,View changes,[[]],CFM77510 Schemes: Overview
CFM80020,0.0,2.0,View changes,[[]],CFM80020 Loan Relationships: Quick Guide To Converting From FA 1996 To CTA 2009
CFM80130,0.0,2.0,View changes,[[]],CFM80130 Meaning Of Generally Accepted Accounting Practice
CFM80230,0.0,2.0,View changes,[[]],CFM80230 Accruals Basis: Authorised Arrangements For Bad Debt: ‘Bad Debt Relief’
CFM81020,0.0,2.0,View changes,[[]],CFM81020 Consequences Of Connection
CFM81030,0.0,2.0,View changes,[[]],CFM81030 Connection Through Control
CFM81070,0.0,2.0,View changes,[[]],CFM81070 Late Interest And Discounted Securities
CFM81350,0.0,2.0,View changes,[[]],CFM81350 Relevant Net Debit
CFM82110,0.0,2.0,View changes,[[]],CFM82110 Convertibles Pre 2005: Introduction
CFM82120,0.0,2.0,View changes,[[]],CFM82120 Convertibles Pre 2005: What Are Convertibles
CFM82290,0.0,2.0,View changes,[[]],CFM82290 Convertibles Pre 2005: Ceasing To Qualify
CFM83200,0.0,2.0,View changes,[[]],CFM83200 Transitional Provisions: Para 4A Examples
CFM84020,0.0,2.0,View changes,[[]],CFM84020 GAAP
CFM90170,0.0,2.0,View changes,[[]],CFM90170 Overview: Commencement
CFM90240,0.0,2.0,View changes,[[]],CFM90240 Relevant Group Companies
CFM90250,0.0,2.0,View changes,[[]],CFM90250 UK Group Companies
CFM90410,0.0,2.0,View changes,[[]],CFM90410 Introduction
CFM90430,0.0,2.0,View changes,[[]],CFM90430 The Importance Of Accounting Policies
CFM90470,0.0,2.0,View changes,[[]],CFM90470 Deriving Amounts From Consolidated Financial Statements
CFM90630,0.0,2.0,View changes,[[]],CFM90630 UK Net Debt Derived From Financial Statements Of Group Companies
CFM90710,0.0,2.0,View changes,[[]],CFM90710 Definition Of Relevant Liabilities - Short And Long Term Borrowings
CFM90720,0.0,2.0,View changes,[[]],CFM90720 Definition Of Relevant Assets
CFM90820,0.0,2.0,View changes,[[]],CFM90820 Qualification Test Based On Income From Business Activities
CFM90830,0.0,2.0,View changes,[[]],CFM90830 Qualification Based On Business Activities Of The Worldwide Group Or The Group Companies
CFM90840,0.0,2.0,View changes,[[]],CFM90840 Qualification Affected By Losses On Activities Normally Reported On A Net Basis
CFM90870,0.0,2.0,View changes,[[]],CFM90870 Qualifying Activities
CFM90940,0.0,2.0,View changes,[[]],CFM90940 Trading Income Of A Worldwide Group
CFM91010,0.0,2.0,View changes,[[]],CFM91010 Introduction
