ChapterNumber,Title,Para,RelevantSource
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95680    Tax-interest: double taxation relief,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95690    Tax-interest: co-operative and community benefit societies,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95695    Tax-interest: certain payments made to charaties,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95697    Tax-interest: Authorised Investment Funds and Investment Trust Companies,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95698    Tax-interest: securitisation companies,True
CFM96820,CFM96820 Ventures: Interest Allowance (Consolidated Partnerships) Election,CFM96830    Joint ventures: interest allowance (consolidated partnerships) election: effect of the election,True
CFM96820,CFM96820 Ventures: Interest Allowance (Consolidated Partnerships) Election,CFM96840    Joint ventures: interest allowance (consolidated partnerships) election: example with interest allowance (consolidated partnerships) election,True
CFM96850,CFM96850 Ventures: Group Ratio (Blended) Election,CFM96860    Joint ventures: group ratio (blended) election: application of election,True
CFM96850,CFM96850 Ventures: Group Ratio (Blended) Election,CFM96900    Joint ventures: group ratio (blended) election: treatment of elections in investor groups,True
CFM96910,CFM96910 Ventures: Qualifying Infastructure Company JV,CFM96920    Joint ventures: qualifying infrastructure company JV: treatment of a single QIC JV company,True
CFM96910,CFM96910 Ventures: Qualifying Infastructure Company JV,CFM96930    Joint ventures: qualifying infrastructure company JV: how TIOPA10/s401 and TIOPA10/S427 apply to a single company that has made a section 444 election,True
CFM96910,CFM96910 Ventures: Qualifying Infastructure Company JV,CFM96960    Joint ventures: qualifying infrastructure company JV: effect on other companies,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97110    Public infrastructure: outline,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97120    Public infrastructure: qualifying infrastructure activity,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97130    Public infrastructure: public infrastructure asset,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97140    Public infrastructure: public benefit test,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97150    Public infrastructure: expected economic life,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97160    Public infrastructure: group balance sheet test,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97170    Public infrastructure: buildings within UK property business,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,"CFM97180    Public infrastructure: ancillary to, or facilitates, provision",True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97190    Public infrastructure: qualifying infrastructure company,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97200    Public infrastructure: the income test,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97210    Public infrastructure: the asset test,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97220    Public infrastructure: fully taxed in the UK,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97230    Public infrastructure: decommissioning and decommissioning funds,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97240    Public infrastructure: the election,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97250    Public infrastructure: elections for a transitional period,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97260    Public infrastructure: joint elections modifying the effect of an election to be qualifying infrastructure company,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97270    Public infrastructure: meaning of insignificant for members of a joint election,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97290    Public infrastructure: effect of section 435 election on anti-cycling provisions,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97300    Public infrastructure: exemption for interest payable to third parties,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,"CFM97330    Public infrastructure: guarantees, indemnities and financial assistance",True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97340    Public infrastructure: qualifying old loan relationship,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97360    Public infrastructure: highly predictable,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97370    Public infrastructure: ceasing to be a qualifying old loan relationship,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97380    Public infrastructure: amounts to be ignored or treated as nil,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97390    Public infrastructure: interaction with the ‘de minimis’ provisions,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97400    Public infrastructure: interaction with the transitional provisions,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97420    Public infrastructure: partnerships and transparent entities,True
CFM97100,CFM97100 Interest Restriction: Public Infrastructure,CFM97430    Public infrastructure: relevant public body,True
CFM97500,CFM97500 Interest Restriction: Banking And Insurance Groups,CFM97505    Banking and insurance groups: overview,True
CFM97500,CFM97500 Interest Restriction: Banking And Insurance Groups,CFM97515    Banking and insurance groups: banking companies and banking groups,True
CFM97500,CFM97500 Interest Restriction: Banking And Insurance Groups,CFM97525    banking and insurance groups: insurance companies and groups,True
CFM97700,CFM97700 Interest Restriction: Property And Reits,CFM97710    Property and REITs: overview,True
CFM97700,CFM97700 Interest Restriction: Property And Reits,CFM97720    Property and REITs: allocation of disallowances,True
CFM97700,CFM97700 Interest Restriction: Property And Reits,CFM97730    Property and REITs: limit on property rental business (PRB) disallowance,True
CFM97700,CFM97700 Interest Restriction: Property And Reits,CFM97740    Property and REITs: disallowance to residual business,True
CFM97700,CFM97700 Interest Restriction: Property And Reits,CFM97750    Propertyand REITs: REITs and the interest restriction return,True
CFM97700,CFM97700 Interest Restriction: Property And Reits,CFM97760    Property and REITs: corporate non-resident landlords,True
CFM97800,CFM97800 Interest Restriction: Leasing,CFM97810    Leasing: overview,True
CFM97800,CFM97800 Interest Restriction: Leasing,CFM97820    Leasing: long funding operating leases,True
CFM97800,CFM97800 Interest Restriction: Leasing,CFM97830    Leasing: finance leases that are not long funding leases,True
CFM97900,CFM97900 Interest Restriction: Special Regimes,CFM97920    Special regimes: oil & gas,True
CFM98000,CFM98000 Interest Restriction: Anti-Avoidance,CFM98010    Anti-avoidance: anti-avoidance,True
CFM98000,CFM98000 Interest Restriction: Anti-Avoidance,CFM98020    Anti-avoidance: commencement and exceptions,True
CFM98200,CFM98200 Interest Restriction: Carry Forward Rules,CFM98210    Carry forward rules: introduction,True
CFM98200,CFM98200 Interest Restriction: Carry Forward Rules,CFM98220    Carry forward rules: terminology,True
CFM98200,CFM98200 Interest Restriction: Carry Forward Rules,CFM98230    Carry forward rules: carry forward of interest disallowance,True
CFM98200,CFM98200 Interest Restriction: Carry Forward Rules,CFM98240    Carry forward rules: use and time-expiry of brought forward interest allowance,True
CFM98200,CFM98200 Interest Restriction: Carry Forward Rules,CFM98250    Carry forward rules: excess debt cap,True
CFM98300,CFM98300 Interest Restriction: Commencement Rules,CFM98310    Commencement rules: introduction,True
CFM98300,CFM98300 Interest Restriction: Commencement Rules,CFM98320    Commencement rules: straddling period of account,True
CFM98300,CFM98300 Interest Restriction: Commencement Rules,CFM98330    Commencement rules: repeal of Worldwide Debt Cap,True
CFM98300,CFM98300 Interest Restriction: Commencement Rules,CFM98350    Commencement rules: extended time limits,True
CFM98300,CFM98300 Interest Restriction: Commencement Rules,CFM98360    Commencement rules: previous accounting and tax changes,True
CFM98400,CFM98400 Interest Restriction: Administration,CFM98980    Administration: penalties,True
CFM98420,CFM98420 Administration: Reporting Requirements,CFM98430    Administration: reporting requirements: the full interest restriction return,True
CFM98420,CFM98420 Administration: Reporting Requirements,CFM98440    Administration: reporting requirements: the abbreviated interest restriction return,True
CFM98420,CFM98420 Administration: Reporting Requirements,CFM98460    Administration: reporting requirements: elections that may be made in the return,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98635    Administration: UK group company: relevant accounting period.,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98640    Administration: UK group company: disallowances for consenting companies.,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98650    Administration: UK group company: disallowances for non-consenting companies,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98654    Administration: UK group company: disallowances where no compliant interest restriction return,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98657    Administration: UK group company: provision of information to other group companies where there is no reporting company,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98660    Administration: UK group company: items of income to be left out of account,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98670    Administration: UK group company: disallowed tax-interest amounts carried forward,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98680    Administration: UK group company: reactivation of disallowed tax-interest amounts carried forward ,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98690    Administration: UK group company: identification of reactivated items of income,True
CFM98630,CFM98630 Administration: UK Group Company,CFM98700    Administration: UK group company: set off of disallowances and reactivations,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98730    Administration: enquiry procedure: service of a notice of enquiry,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98740    Administration: enquiry procedure: normal time limits for opening an enquiry,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98750    Administration: enquiry procedure: extended time limits where there is a discovery,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98760    Administration: enquiry procedure: scope of enquiry and interaction with a CT return enquiry,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98770    Administration: enquiry procedure: notice requiring SA amendment to prevent loss of tax during enquiry,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98780    Administration: enquiry procedure: revision of a return during an enquiry,True
CFM98720,CFM98720 Administration: Enquiry Procedure,"CFM98790    Administration: enquiry procedure: closure notice, correct group and period of account",True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98800    Administration: enquiry procedure: requirement of a reporting company to submit a revised return,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98810    Administration: enquiry procedure: closure notices when return submitted for incorrect period of account,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98820    Administration: enquiry procedure: closure notices when group was identified incorrectly,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98830    Administration: enquiry procedure: closure notices when incorrect group and correct group has a reporting company,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98840    Administration: enquiry procedure: closure notices when incorrect group and correct group has no reporting company,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98850    Administration: enquiry procedure: direction to complete an enquiry,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98860    Administration: enquiry procedure: appeals against closure and PARA51 notices,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98870    Administration: enquiry procedure: determinations following an enquiry and resulting revisions,True
CFM98720,CFM98720 Administration: Enquiry Procedure,CFM98880    Administration: enquiry procedure: consequential claims to company tax returns following enquiry,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98900    Administration: record retention and information powers: duty to keep and preserve records,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98910    Administration: record retention and information powers: introduction,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98920    Administration: record retention and information powers: powers relating to members of worldwide group,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98930    Administration: record retention and information powers: third party information powers,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98940    Administration: record retention and information powers: limitation of powers when enquiry is currently opened into a filed return,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,"CFM98950    Administration: record retention and information powers: meaning of ""checking an interest restriction return""",True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98960    Administration: record retention and information powers: appeals against information notices,True
CFM98890,CFM98890 Administration: Record Retention And Information Powers,CFM98970    Administration: record retention and information powers: general information powers and interest restriction information powers,True
CFM98980,CFM98980 Administration: Penalties,CFM98990    Administration: penalties: introduction,True
CFM98980,CFM98980 Administration: Penalties,CFM99000    Administration: penalties: penalties for failure to deliver an interest restriction return,True
CFM98980,CFM98980 Administration: Penalties,CFM99010    Administration: penalties: penalty for failure to notify that a return contains estimates after 36 months,True
CFM98980,CFM98980 Administration: Penalties,CFM99020    Administration: penalties: introduction to penalties for incorrect return,True
CFM98980,CFM98980 Administration: Penalties,CFM99030    Administration: penalties: the three levels of inaccuracy and penalty for an incorrect return,True
CFM98980,CFM98980 Administration: Penalties,CFM99040    Administration: penalties: notional tax on the return,True
CFM98980,CFM98980 Administration: Penalties,CFM99050    Administration: penalties: factors which may reduce the level of penalty on an incorrect return,True
CFM98980,CFM98980 Administration: Penalties,CFM99054    Administration: penalties: reductions in penalty levels for special circumstances - general,True
CFM98980,CFM98980 Administration: Penalties,CFM99057    Administration: penalties: special reduction where notional tax exceeds actual loss of tax,True
CFM98980,CFM98980 Administration: Penalties,CFM99060    Administration: penalties: inaccuracy attributable to company other than reporting company,True
CFM98980,CFM98980 Administration: Penalties,CFM99070    Administration: penalties: assessment payment and enforcement of penalty,True
CFM98980,CFM98980 Administration: Penalties,CFM99080    Administration: penalties: appeals against penalties for an incorrect return,True
CFM98980,CFM98980 Administration: Penalties,CFM99090    Administration: penalties: payments between group companies in respect of penalties,True
CFM98980,CFM98980 Administration: Penalties,CFM99100    Administration: penalties: penalties for failure to keep and preserve records,True
CFM98980,CFM98980 Administration: Penalties,CFM99110    Administration: penalties: penalties for failure to comply with information notices,True
CG58060,CG58060 Rights Partially Qualify,This example illustrates the effect of an earn-out right being treated as a security by TCGA92/S138A if a customer sells shares and receives an immediate issue of shares and the right to receive an unascertainable deferred amount of shares.,True
CG58060,CG58060 Rights Partially Qualify,"NOTE From 6 April 2008 only companies and other concerns within the charge to Corporation Tax may be able to claim indexation allowance, see CG17207.",True
CG58060,CG58060 Rights Partially Qualify,FACTS,True
CG58060,CG58060 Rights Partially Qualify,"In year 0 V Ltd acquires all the shares in T Ltd for £100,000.",True
CG58060,CG58060 Rights Partially Qualify,In year 10 V Ltd sells the shares in T Ltd at arm’s length to P Ltd.,True
CG58060,CG58060 Rights Partially Qualify,The consideration is,True
CG58060,CG58060 Rights Partially Qualify,"80,000 shares in P Ltd at market value of £2.25 each (total £180,000), and",True
CG58060,CG58060 Rights Partially Qualify,"the right to two payments of deferred consideration, the amount depending on future profits of T Ltd, to be satisfied only by an issue of shares in P Ltd.",True
CG58060,CG58060 Rights Partially Qualify,"The market value of the right to deferred consideration at the time of disposal is agreed by Shares and Assets Valuation at £300,000.",True
CG58060,CG58060 Rights Partially Qualify,"In year 11 shares in P Ltd to the value of £202,940 (73,000 shares at £2.78 each) are issued to V Ltd in part satisfaction of the right to deferred consideration. The market value of the remainder of the right in year 11 is agreed by Shares and Assets Valuation at £90,000.",True
CG58060,CG58060 Rights Partially Qualify,"In year 12 shares in P Ltd to the value of £118,440 (47,000 shares at £2.52 each) are issued in full satisfaction of the remainder of the right to deferred consideration.",True
CG58060,CG58060 Rights Partially Qualify,P Ltd is a company whose shares are quoted on the Stock Exchange. All of the conditions are satisfied and the earn-out right is treated as a security by section 138A.,True
CG58060,CG58060 Rights Partially Qualify,COMPUTATIONS,True
CG58060,CG58060 Rights Partially Qualify,A) COST OF SHARES IN P LTD,True
CG58060,CG58060 Rights Partially Qualify,B) COST OF NOTIONAL SECURITY = RIGHT TO DEFERRED CONSIDERATION,True
CG58060,CG58060 Rights Partially Qualify,C) COMPUTATIONS WHEN DEFERRED CONSIDERATION RECEIVED,True
CG58060,CG58060 Rights Partially Qualify,D) SHARES IN P LTD,True
CG58060,CG58060 Rights Partially Qualify,EXPLANATION,True
CG58060,CG58060 Rights Partially Qualify,The statutory reasons for the method of computation are:,True
CG58060,CG58060 Rights Partially Qualify,A. COST OF SHARES IN P LTD,True
CG58060,CG58060 Rights Partially Qualify,V Ltd has acquired shares in P Ltd and a `notional security’ under section 138A. These are treated as two classes of shares or debentures. Together they form the `new holding’ under TCGA92/S127 as applied by TCGA92/S135(3).,True
CG58060,CG58060 Rights Partially Qualify,If the shares in P Ltd are not quoted the apportionment should be made by reference to market values at the date of a disposal of all or part of the new holding.,True
CG58060,CG58060 Rights Partially Qualify,C. RIGHT TO UNASCERTAINABLE DEFERRED CONSIDERATION,True
CG58060,CG58060 Rights Partially Qualify,The part satisfaction of the right to deferred consideration is a part disposal of the right. But because of section 138A it is treated as a conversion of securities within TCGA92/S132. TCGA92/S127 applies with the necessary adaptations to the part disposal and part of the base cost of the notional security is transferred to the holding of shares in P Ltd.,True
CG58060,CG58060 Rights Partially Qualify,The procedure for obtaining valuations of the right to unascertainable deferred consideration is described at CG14950.,True
CG58060,CG58060 Rights Partially Qualify,D. SHARES IN P LTD,True
CG58060,CG58060 Rights Partially Qualify,The shares in P Ltd which are acquired go into the TCGA92/S104 holding of shares of the same class. The base cost and indexed pool of expenditure is calculated in accordance with A and B above.,True
CG58070,CG58070 Right To Receive Qcbs,This example illustrates the computation where only part of the deferred consideration has to be satisfied by an issue of shares.,True
CG58070,CG58070 Right To Receive Qcbs,"NOTE From 6 April 2008 only companies and other concerns within the charge to Corporation Tax may be able to claim indexation allowance, see CG17207.",True
CG58070,CG58070 Right To Receive Qcbs,FACTS,True
CG58070,CG58070 Right To Receive Qcbs,"In year 0 V Ltd acquires all the shares in T Ltd for £100,000.",True
CG58070,CG58070 Right To Receive Qcbs,In year 10 V Ltd sells all the shares in T Ltd at arm’s length to P Ltd.,True
CG58070,CG58070 Right To Receive Qcbs,"The consideration is the right to two payments of deferred consideration, the amount depending on the future profits of T Ltd. Fifty per cent of the amount will be satisfied in shares of P Ltd, with the remaining fifty per cent to be satisfied in any combination of shares or cash at V Ltd’s request.",True
CG58070,CG58070 Right To Receive Qcbs,"The market value of the right to receive deferred consideration at the time of disposal is agreed by Shares and Assets Valuation at £800,000.",True
CG58070,CG58070 Right To Receive Qcbs,"In year 11 V Ltd receives shares in P Ltd to the value £680,000 (200,000 shares at £3.40 each) in part satisfaction of the right to deferred consideration. The market value of the remainder of the right is agreed by Shares and Assets Valuation to be £300,000.",True
CG58070,CG58070 Right To Receive Qcbs,"In year 12 shares in P Ltd to the value £350,000 (100,000 shares at £3.50 each) are issued in full satisfaction of the remainder of the right to deferred consideration.",True
CG58070,CG58070 Right To Receive Qcbs,TCGA92/S138A applies to the fifty per cent of the consideration which could be received only in the form of shares. It cannot apply to the fifty per cent of the consideration that may be received in cash even if the cash alternative is not taken up. Section 138A(1)(d) requires that the right may only be satisfied by the issue of new debentures if it is to be an earn-out right to which section 138A can apply.,True
CG58070,CG58070 Right To Receive Qcbs,COMPUTATIONS,True
CG58070,CG58070 Right To Receive Qcbs,A) IMMEDIATE CHARGEABLE GAIN,True
CG58070,CG58070 Right To Receive Qcbs,B) COST OF NOTIONAL SECURITY UNDER SECTION 138A,True
CG58070,CG58070 Right To Receive Qcbs,C) COMPUTATIONS WHEN DEFERRED CONSIDERATION RECEIVED,True
CG58070,CG58070 Right To Receive Qcbs,i) 50 per cent not covered by Section 138A,True
CG58070,CG58070 Right To Receive Qcbs,ii) 50 per cent covered by Section 138A,True
CG58070,CG58070 Right To Receive Qcbs,NOTIONAL SECURITY,True
CG58070,CG58070 Right To Receive Qcbs,D) SHARES IN P LTD,True
CG58070,CG58070 Right To Receive Qcbs,EXPLANATION,True
CG58070,CG58070 Right To Receive Qcbs,A) IMMEDIATE CHARGEABLE GAIN,True
CG58070,CG58070 Right To Receive Qcbs,There is an immediate chargeable gain on the proportion of the right to receive unascertainable deferred consideration which does not fall within section 138A. The disposal consideration is the value of that part of the right (supplied by Shares and Assets Valuation).,True
CG58070,CG58070 Right To Receive Qcbs,C)i) CHARGEABLE GAINS ON RECEIPT OF DEFERRED CONSIDERATION,True
CG58070,CG58070 Right To Receive Qcbs,There is a disposal or part disposal of the `right’ when the deferred consideration is received in satisfaction or part satisfaction of the `right’. The cost of the right to receive unascertainable deferred consideration is the value which has been brought into the computation of the immediate chargeable gain. CG14970 explains this in more detail.,True
CG58070,CG58070 Right To Receive Qcbs,D) SHARES IN P LTD,True
CG58070,CG58070 Right To Receive Qcbs,All of the shares in P Ltd which are acquired go into the same pool. The shares to which section 138A did not apply go into the pool at market value at the date of acquisition. The shares to which section 138A did apply go into the pool with the base cost (and indexation) which has been calculated as if there was no disposal of the original shares.,True
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",specify records by way of a notice.,True
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","We have not made any such regulations yet for IT, CGT or CT.",True
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",TMA70/S12B,True
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",FA98/SCH18/PARA21,True
CH12100,CH12100 What VAT: General,"For details of how records may be preserved, see CH13000.",True
CH12100,CH12100 What VAT: General,"For details of how long records must be retained for, see CH14000.",True
CH12100,CH12100 What VAT: General,Records not required to be kept,True
CH12100,CH12100 What VAT: General,HMRC can make regulations that may,True
CH12100,CH12100 What VAT: General,specify the records and supporting documents that must be kept,True
CH12100,CH12100 What VAT: General,specify the records and supporting documents that need not be kept,True
CH12100,CH12100 What VAT: General,"make different provisions for different cases, and",True
CH12100,CH12100 What VAT: General,specify records by way of a notice. See](https://www.gov.uk/hmrc-internal-manuals/compliance-handbook/ch12400) for examples.,True
CH12100,CH12100 What VAT: General,The VAT Regulations do not include any list of what records need not be kept.,True
CH12100,CH12100 What VAT: General,VATA94/SCH11/PARA6,True
CH12100,CH12100 What VAT: General,"SI1995/2518/Regs 31, 31A & 31B",True
CH14200,CH14200 Avoidance,"Although the law sets out the periods for which a person must retain their records, we can specify a shorter retention period. You will find more detail in [",True
CH14200,CH14200 Avoidance,"Although the law sets out the periods for which a person must retain their records, we can specify a shorter retention period. You will find more detail in](https://www.gov.uk/hmrc-internal-manuals/compliance-handbook/ch14800) for direct taxes and](https://www.gov.uk/hmrc-internal-manuals/compliance-handbook/ch15300) for VAT.",True
CH14200,CH14200 Avoidance,A shorter retention period must not be specified in any circumstances in which you suspect that avoidance is involved. To do so would be against HMRC’s anti-avoidance strategy.,True
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,"For Henrietta’s ITSA payments on account, we calculate late payment interest as explained in CH142240. We charge late payment interest on the amount by which each payment of £10,000 was underpaid, when compared with the lesser of",True
