ChapterNumber,CharCountDiff,LevDistance,Link,Title,paraChangeCount,paraCount,textLevTotal
CFM25080,0.0,2.0,View changes,Comparison Of Compound And Hybrid Financial Instruments,0.0,12.0,0.0
CFM26015,0.0,2.0,View changes,"Summary Of Differences Between SSAP 20 And FRS 23, IFRS And New UK GAAP",0.0,6.0,0.0
CFM26030,0.0,2.0,View changes,Basic Principles: Initial Recognition Of Transactions,1.0,11.0,1.0
CFM26050,2.0,4.0,View changes,Basic Principles: Profit And Loss Account,4.0,13.0,5.0
CFM26060,0.0,2.0,View changes,SSAP 20: Recognition And The Accruals Concept,1.0,11.0,1.0
CFM26080,3.0,5.0,View changes,SSAP 20: Hedging A Trading Transaction With A Forward Contract,1.0,19.0,1.0
CFM26090,1.0,3.0,View changes,SSAP 20: Hedging A Non-Trading Transaction,1.0,12.0,1.0
CFM26100,0.0,2.0,View changes,SSAP 20: Speculative Currency Contracts,1.0,13.0,1.0
CFM26270,0.0,2.0,View changes,Foreign Operations: Temporal Method,1.0,9.0,1.0
CFM26290,29.0,31.0,View changes,Foreign Operations: Temporal Method: When To Use,0.0,9.0,0.0
CFM27015,1.0,3.0,View changes,Hedging: Development Of Hedge Accounting,0.0,9.0,0.0
CFM30110,0.0,2.0,View changes,A Brief History And A Short Guide,1.0,18.0,1.0
CFM30140,0.0,2.0,View changes,The Meaning Of ‘Loan Relationship’,1.0,16.0,1.0
CFM33120,0.0,2.0,View changes,GAAP: Amounts ‘Not Fully Recognised’ For Accounting Purposes,1.0,16.0,1.0
CFM33160,3053.0,7939.0,View changes,GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,14.0,15.0,5245.0
CFM33170,0.0,2.0,View changes,GAAP: Amounts In Equity,1.0,7.0,1.0
CFM33204,0.0,2.0,View changes,Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: ‘Entitlement To Shares’,2.0,8.0,2.0
CFM33205,0.0,2.0,View changes,Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: Debt For Equity Swaps On Or After 9 November 2009,0.0,11.0,0.0
CFM33280,0.0,2.0,View changes,Company Ceasing To Be Party To A Loan Relationship,1.0,9.0,1.0
CFM35010,0.0,2.0,View changes,Overview,0.0,14.0,0.0
CFM35030,0.0,2.0,View changes,A Summary Of The Key Rules,2.0,17.0,2.0
CFM35100,0.0,2.0,View changes,Connected Companies: Contents,0.0,12.0,0.0
CFM35120,0.0,2.0,View changes,Connected Companies: What Is Control?,0.0,20.0,0.0
CFM35170,0.0,2.0,View changes,Connected Companies: Use Of The Amortised Cost Basis,0.0,20.0,0.0
CFM35420,0.0,2.0,View changes,Debtors,1.0,13.0,1.0
CFM35440,0.0,2.0,View changes,Debtors: Deemed Releases Of Impaired Debt: Tax Treatment,0.0,15.0,0.0
CFM35540,0.0,2.0,View changes,Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Corporate Rescue Exception,0.0,15.0,0.0
CFM35560,0.0,3.0,View changes,Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Equity-For-Debt Exception,0.0,9.0,0.0
CFM35590,0.0,4.0,View changes,Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 27 February 2012: Anti-Avoidance,1.0,9.0,1.0
CFM35660,0.0,4.0,View changes,Amount Of Restriction: Effect Of Releases,1.0,15.0,1.0
CFM35810,0.0,3.0,View changes,Overview,1.0,18.0,1.0
CFM35860,0.0,3.0,View changes,The Four Cases,0.0,15.0,0.0
CFM36080,0.0,3.0,View changes,Partnerships: Company Partners And Connected Debtors,0.0,11.0,0.0
CFM37320,0.0,4.0,View changes,Special And Close Companies: Aps Beginning On Or After 1 April 2009,1.0,8.0,1.0
CFM37480,0.0,2.0,View changes,When HMRC Will Satisfy A Repayment Claim Using Funding Bonds,1.0,11.0,1.0
CFM37610,0.0,2.0,View changes,‘Hybrid’ Securities With Embedded Derivatives: Overview,1.0,13.0,1.0
CFM37620,0.0,2.0,View changes,‘Hybrid’ Securities With Embedded Derivatives: What Is A ‘Hybrid Security’?,1.0,8.0,1.0
CFM37630,0.0,2.0,View changes,‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Bifurcation,0.0,10.0,0.0
CFM37640,0.0,2.0,View changes,‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Mechanics Of Bifurcation,1.0,10.0,1.0
CFM37690,0.0,4.0,View changes,'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Securities - Holders,1.0,15.0,1.0
CFM37700,0.0,3.0,View changes,'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Convertible Securities - Issuers,1.0,23.0,1.0
CFM37710,0.0,4.0,View changes,'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Asset-Linked Securities - Issuers,1.0,8.0,1.0
CFM38020,0.0,3.0,View changes,Overview: Other Anti-Avoidance Rules,0.0,18.0,0.0
CFM38100,0.0,2.0,View changes,Unallowable Purpose: Contents,0.0,14.0,0.0
CFM38120,0.0,2.0,View changes,Definition,0.0,9.0,0.0
CFM38140,0.0,2.0,View changes,Tax Avoidance Purpose,0.0,10.0,0.0
CFM38510,0.0,3.0,View changes,Forex: Overview,1.0,9.0,1.0
CFM38570,0.0,3.0,View changes,Forex: Non-Arm’S Length Transactions: Non Arm's Length Creditor Relationships: Meaning Of ‘Corresponding Debtor Relationship’,0.0,13.0,0.0
CFM38580,0.0,3.0,View changes,Forex: Non-Arm’S Length Transactions: Non-Arm’S Length Creditor Relationships: Exception Where Loan Exceeds Arm’S Length Amount,0.0,11.0,0.0
CFM39000,0.0,3.0,View changes,Other Rules,0.0,13.0,0.0
CFM39010,0.0,3.0,View changes,Overview Of Other Anti-Avoidance Rules,0.0,18.0,0.0
CFM39030,0.0,3.0,View changes,Artificial Payments Of Interest: Sole Or Main Benefit,0.0,12.0,0.0
CFM39035,1.0,4.0,View changes,Connected Parties Deriving Benefit From Creditor Relationships,0.0,13.0,0.0
CFM39050,0.0,2.0,View changes,Reset Bonds: Mirror Bond Scheme,0.0,8.0,0.0
CFM39110,0.0,2.0,View changes,Index-Linked Gilt-Edged Securities: Introduction,1.0,9.0,2.0
CFM39160,0.0,2.0,View changes,Index-Linked Gilt-Edged Securities: Economic Profits And Losses,1.0,9.0,1.0
CFM39170,0.0,2.0,View changes,Index-Linked Gilt-Edged Securities: The Relevant Group,0.0,12.0,0.0
CFM42040,0.0,2.0,View changes,The Main Rules,1.0,13.0,1.0
CFM42100,22.0,2748.0,View changes,Exchange Gains And Losses,2.0,12.0,21.0
CFM43040,0.0,2.0,View changes,Qualifying Investments,1.0,16.0,1.0
CFM44210,0.0,2.0,View changes,Investment Bond Arrangements: Conditions: Accounting Test,1.0,8.0,1.0
CFM44230,0.0,2.0,View changes,Investment Bond Arrangements: Tax Treatment,1.0,13.0,1.0
CFM44300,2.0,4.0,View changes,Loan Relationships: Other Tax Rules: Distributions,0.0,9.0,0.0
CFM45080,0.0,2.0,View changes,Shares With Guaranteed Returns: Outstanding Third Party Obligations: Meaning Of Interest Like Investment,1.0,20.0,1.0
CFM45090,1.0,3.0,View changes,Shares With Guaranteed Returns: Outstanding Third Party Obligations: Comparison With Commercial Rate Of Interest,0.0,10.0,0.0
CFM45150,0.0,2.0,View changes,Shares With Guaranteed Returns: Non-Qualifying Shares: The ‘Increasing Value Condition’,2.0,16.0,2.0
CFM45200,0.0,2.0,View changes,Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition,1.0,26.0,1.0
CFM45240,0.0,2.0,View changes,Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition: Unallowable Purposes Test,0.0,19.0,0.0
CFM45250,0.0,2.0,View changes,Shares With Guaranteed Returns: Non-Qualifying Shares: The Associated Transactions Condition,1.0,17.0,1.0
CFM46050,0.0,1.0,View changes,Manufactured Interest,0.0,13.0,0.0
CFM46350,54.0,56.0,View changes,Repos: Tax Rules: Debtor Repos,2.0,22.0,24.0
CFM46370,0.0,2.0,View changes,Repos: Tax Rules: Debtor Quasi-Repos: Examples,0.0,22.0,0.0
CFM46430,0.0,2.0,View changes,Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: No Income,1.0,13.0,1.0
CFM46440,0.0,2.0,View changes,Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: Gross-Paying,1.0,15.0,1.0
CFM50030,0.0,2.0,View changes,Derivative Contracts: Introduction: Scope,1.0,16.0,1.0
CFM50240,0.0,2.0,View changes,Commodity Contracts,1.0,9.0,1.0
CFM50730,0.0,2.0,View changes,Contracts Over Shares,1.0,24.0,1.0
CFM50740,3.0,5.0,View changes,Share-Based Contracts Always Within Part 7,0.0,13.0,0.0
CFM50810,0.0,1.0,View changes,Equity Derivatives: Condition E,0.0,6.0,0.0
CFM51020,0.0,1.0,View changes,How Amounts Are Taxed,1.0,8.0,1.0
CFM52060,0.0,2.0,View changes,Statutory Insolvency Arrangements,1.0,5.0,1.0
CFM52510,0.0,2.0,View changes,Introduction,1.0,14.0,1.0
CFM55020,0.0,2.0,View changes,Overview,1.0,19.0,1.0
CFM55210,0.0,2.0,View changes,Holders Of Convertible Or Share-Linked Securities: Convertible Securities: Introduction,1.0,14.0,1.0
CFM55290,0.0,2.0,View changes,Holders Of Convertible Or Share-Linked Securities: Share-Linked Securities,1.0,21.0,1.0
CFM55410,0.0,2.0,View changes,Issuers Of Convertible Or Share-Linked Securities: Introduction,1.0,13.0,1.0
CFM55420,0.0,2.0,View changes,Issuers Of Convertible Or Share-Linked Securities: Securities Containing Deemed Option,1.0,17.0,1.0
CFM55470,0.0,2.0,View changes,Issuers Of Convertible Or Share-Linked Securities: Securities Containing Cfds,1.0,16.0,1.0
CFM55490,0.0,2.0,View changes,Issuers Of Convertible Or Share-Linked Securities: 'Exactly Tracking Contract' - Example,1.0,8.0,1.0
CFM55510,0.0,2.0,View changes,Issuers Of Convertible Or Share-Linked Securities: Securities Containing Equity Instruments,0.0,21.0,0.0
CFM56005,0.0,1.0,View changes,Overview Of Anti-Avoidance Rules,1.0,14.0,1.0
CFM56020,4.0,5.0,View changes,Taxing Meaning Of ‘Unallowable Purpose’,0.0,10.0,0.0
CFM56030,2.0,3.0,View changes,Unallowable Purposes: Allowance Of Accumulated Net Losses,0.0,16.0,0.0
CFM56100,0.0,2.0,View changes,Consideration Not Fully Recognised By Accounting Practice,1.0,14.0,1.0
CFM57041,2.0,4.0,View changes,Hedging: Change In Election Approach,0.0,11.0,0.0
CFM57071,3.0,5.0,View changes,Hedging: Default Approach,0.0,12.0,0.0
CFM57072,4.0,6.0,View changes,Hedging: Regulation 9A,0.0,13.0,0.0
CFM57075,5.0,7.0,View changes,"Hedging: Overview Of Regulations 7, 8 And 9",0.0,14.0,0.0
CFM57220,0.0,2.0,View changes,Hedging: Regulation 10: Examples,0.0,17.0,0.0
CFM57280,0.0,2.0,View changes,Hedging: Regulation 10: Ignoring Recycling,1.0,7.0,1.0
CFM57300,0.0,2.0,View changes,Hedging: Regulation 9: Scope,0.0,19.0,0.0
CFM57371,1.0,3.0,View changes,Hedging: Anti-Avoidance,0.0,13.0,0.0
CFM61120,0.0,2.0,View changes,Loan Relationships And Derivative Contracts: Giving Effect To Exchange Differences,1.0,18.0,1.0
CFM61140,0.0,2.0,View changes,Loan Relationships And Derivative Contracts: Exchange Differences In Reserves,1.0,11.0,1.0
CFM62210,0.0,2.0,View changes,Matching Under SSAP 20: Overview,2.0,10.0,2.0
CFM62230,0.0,2.0,View changes,Matching Under SSAP 20: Mandatory Matching For Tax Purposes,1.0,13.0,1.0
CFM62240,0.0,2.0,View changes,Matching Under SSAP 20: Use Of Currency Contracts,1.0,15.0,1.0
CFM62810,0.0,3.0,View changes,Bringing Amounts Back Into Account,0.0,13.0,0.0
CFM63010,0.0,3.0,View changes,Matching: Anti-Avoidance: ‘One-Way Bet’ Schemes: Overview,1.0,10.0,1.0
CFM63150,0.0,3.0,View changes,Matching: Anti-Avoidance: FA 2009: ‘One Way Exchange Effect’: Meaning Of ‘Amounts A And B’,0.0,14.0,0.0
CFM72380,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Note-Issuing Company,0.0,14.0,0.0
CFM72410,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Asset-Holding Company,0.0,16.0,0.0
CFM72450,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Warehouse Companies,0.0,10.0,0.0
CFM72570,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: The Unallowable Purposes Rule,0.0,11.0,0.0
CFM72610,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Corporation Tax Charge: Applies Instead Of The Normal CT Rules,0.0,8.0,0.0
CFM72620,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: Modifications To Commencement And Cessation Rules,0.0,8.0,0.0
CFM72650,0.0,2.0,View changes,Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Modifications To Other Tax Rules: Capital Assets,1.0,8.0,1.0
CFM73160,0.0,2.0,View changes,Finance Charges,0.0,10.0,0.0
CFM73240,0.0,2.0,View changes,Partnership Finance Charges,0.0,10.0,0.0
CFM74310,0.0,2.0,View changes,Introduction,0.0,11.0,0.0
CFM74320,0.0,2.0,View changes,Taxation,1.0,22.0,2.0
CFM74330,0.0,2.0,View changes,Unallowable Purpose,1.0,13.0,1.0
CFM74430,0.0,2.0,View changes,Payments Made On Or After 1 January 2014: Introduction,0.0,12.0,0.0
CFM76040,0.0,2.0,View changes,Transition To IAS: Cases Where There Is No Prior Period Adjustment: Meaning Of ‘Carrying Value’,1.0,19.0,1.0
CFM77510,0.0,2.0,View changes,Schemes: Overview,0.0,13.0,0.0
CFM80020,0.0,2.0,View changes,Loan Relationships: Quick Guide To Converting From FA 1996 To CTA 2009,0.0,6.0,0.0
CFM80130,0.0,2.0,View changes,Meaning Of Generally Accepted Accounting Practice,0.0,10.0,0.0
CFM80230,0.0,2.0,View changes,Accruals Basis: Authorised Arrangements For Bad Debt: ‘Bad Debt Relief’,1.0,20.0,1.0
CFM81020,0.0,2.0,View changes,Consequences Of Connection,1.0,15.0,1.0
CFM81030,0.0,2.0,View changes,Connection Through Control,0.0,17.0,0.0
CFM81070,0.0,2.0,View changes,Late Interest And Discounted Securities,1.0,11.0,1.0
CFM81350,0.0,2.0,View changes,Relevant Net Debit,1.0,19.0,1.0
CFM82110,0.0,2.0,View changes,Convertibles Pre 2005: Introduction,1.0,11.0,1.0
CFM82120,0.0,2.0,View changes,Convertibles Pre 2005: What Are Convertibles,1.0,16.0,1.0
CFM82290,0.0,2.0,View changes,Convertibles Pre 2005: Ceasing To Qualify,0.0,17.0,0.0
CFM83200,0.0,2.0,View changes,Transitional Provisions: Para 4A Examples,0.0,15.0,0.0
CFM84020,0.0,2.0,View changes,GAAP,1.0,14.0,1.0
CFM90170,0.0,2.0,View changes,Overview: Commencement,1.0,22.0,1.0
CFM90240,0.0,2.0,View changes,Relevant Group Companies,3.0,18.0,3.0
CFM90250,0.0,2.0,View changes,UK Group Companies,1.0,9.0,1.0
CFM90410,0.0,2.0,View changes,Introduction,0.0,13.0,0.0
CFM90430,0.0,2.0,View changes,The Importance Of Accounting Policies,1.0,13.0,1.0
CFM90470,0.0,2.0,View changes,Deriving Amounts From Consolidated Financial Statements,0.0,17.0,0.0
CFM90630,0.0,2.0,View changes,UK Net Debt Derived From Financial Statements Of Group Companies,2.0,12.0,2.0
CFM90710,0.0,2.0,View changes,Definition Of Relevant Liabilities - Short And Long Term Borrowings,1.0,19.0,1.0
CFM90720,0.0,2.0,View changes,Definition Of Relevant Assets,1.0,26.0,1.0
CFM90820,0.0,2.0,View changes,Qualification Test Based On Income From Business Activities,0.0,11.0,0.0
CFM90830,0.0,2.0,View changes,Qualification Based On Business Activities Of The Worldwide Group Or The Group Companies,2.0,11.0,2.0
CFM90840,0.0,2.0,View changes,Qualification Affected By Losses On Activities Normally Reported On A Net Basis,1.0,14.0,2.0
CFM90870,0.0,2.0,View changes,Qualifying Activities,1.0,8.0,1.0
CFM90940,0.0,2.0,View changes,Trading Income Of A Worldwide Group,1.0,16.0,1.0
CFM91010,0.0,2.0,View changes,Introduction,2.0,7.0,2.0
CFM91030,0.0,2.0,View changes,Financing Expense Amounts Of A Relevant Group Company,1.0,21.0,1.0
CFM91070,0.0,2.0,View changes,Embedded Derivatives,1.0,13.0,1.0
CFM91110,0.0,2.0,View changes,Calculation Of Disallowance,2.0,8.0,2.0
CFM91210,0.0,2.0,View changes,Introduction,0.0,13.0,0.0
CFM91220,0.0,2.0,View changes,Tested Income Amount,1.0,10.0,1.0
CFM91230,0.0,2.0,View changes,Financing Income Of A UK Group Company,1.0,17.0,1.0
CFM91240,0.0,2.0,View changes,De Minimis Amount,1.0,10.0,1.0
CFM91310,0.0,1.0,View changes,Outline,4.0,12.0,4.0
CFM91320,0.0,1.0,View changes,Time Limit,1.0,6.0,1.0
CFM91340,0.0,1.0,View changes,Which Group Companies Should Be Included,1.0,7.0,1.0
CFM91420,0.0,2.0,View changes,Appointing An Authorised Company For Allocating Disallowances,1.0,7.0,1.0
CFM91430,0.0,2.0,View changes,Appointment Of An Authorised Company For Allocating Exemptions,1.0,7.0,1.0
CFM91440,0.0,2.0,View changes,Acting On Behalf Of Group Companies,1.0,10.0,1.0
CFM91450,0.0,2.0,View changes,Appointment To Cover Both Statements,1.0,7.0,1.0
CFM91470,0.0,2.0,View changes,Initial Appointment And Continued Effect,1.0,9.0,1.0
CFM91480,0.0,2.0,View changes,Revocation,1.0,8.0,1.0
CFM91610,0.0,2.0,View changes,Outline For Disallowance Statements,0.0,6.0,0.0
CFM91690,0.0,2.0,View changes,Submission Of Revised Statement,1.0,6.0,1.0
CFM92010,0.0,2.0,View changes,Intra-Group Short-Term Debt: Introduction,2.0,17.0,2.0
CFM92020,0.0,2.0,View changes,Intra-Group Short-Term Debt: Excluding Finance Expenses,1.0,14.0,1.0
CFM92050,0.0,2.0,View changes,Intra-Group Short-Term Debt: What Is A Short-Term Finance Arrangement?,1.0,7.0,1.0
