ChapterNumber,Link,Source,Title
CH880100,View changes,Compliance Handbook Manual,Overview
COG932220,View changes,Compliance Operational Guidance Manual,Procedure
CTM61680,View changes,Company Taxation Manual,Close Companies: Loans To Participators: Indirect Loans - Exceptions
CTM61690,View changes,Company Taxation Manual,Close Companies: Loans To Participators: By Controlled Companies
DANSP42500,View changes,Decisions And Appeals For National Insurance Contributions And Statutory Payments,Of Decision: Address Of Named Person Unknown
DMBM677710,View changes,Debt Management And Banking Manual,Summary Proceedings (Sc): Small Claims - Defender&#146;S Options On Receipt Of The Summons: Contents
DMBM677720,View changes,Debt Management And Banking Manual,Notification To The Defender
DMBM677730,View changes,Debt Management And Banking Manual,Form 1B
DMBM677740,View changes,Debt Management And Banking Manual,"Defence, Dispute, Or Challenge To The Claim"
DMBM677750,View changes,Debt Management And Banking Manual,Debt Management Office Actions After Service Of The Summons
DMBM677760,View changes,Debt Management And Banking Manual,Payment In Full Or Part Payment
INTM152040,View changes,International Manual,OECD And UN Model Agreements
INTM152070,View changes,International Manual,Interpretation Of Double Taxation Agreements
INTM248150,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Accounting Periods
INTM248200,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Accounting Profits
INTM248300,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Cell Companies
INTM248400,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Non-Trading Finance Profits
INTM248450,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Trading Finance Profits
INTM248500,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Interests In Companies
INTM248550,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Property Business Profits
INTM248600,View changes,International Manual,Alphabetic Index Of Terms Defined In Part 9A: Relevant Finance Lease
INTM285010,View changes,International Manual,Foreign Permanent Establishments Of UK Companies: Capital Allowances: Plant & Machinery: Introduction
INTM285050,View changes,International Manual,Foreign Permanent Establishments Of UK Companies: Capital Allowances: Plant & Machinery: Leasing
INTM286070,View changes,International Manual,Anti-Diversion Rule: Transitional Provisions
INTM286110,View changes,International Manual,Anti-Diversion Rule: Proportionate Reduction Where Tainted Relevant Transactions Arise
INTM286450,View changes,International Manual,Anti-Diversion Rule: Diverted Profits Gateway Approach: Example 3.
INTM287040,View changes,International Manual,Foreign Permanent Establishments Of UK Companies: Exclusions And Definitions: Position Of Payer
INTM330120,View changes,International Manual,Overview
INTM338060,View changes,International Manual,Mechanical Copyright Protection Society (MCPS)
INTM338090,View changes,International Manual,Public Lending Right (PLR)
INTM338570,View changes,International Manual,DT Applications And Claims Scheme For Interest
IPT07865,View changes,Insurance Premium Tax Manual,Guidance Relating To Periods Prior To 1 June 2017
IPTM8025,View changes,Insurance Policyholder Taxation Manual,Benefits Received Outside Policy And Free Gifts
MGETR20010,View changes,Museums And Galleries Exhibition Tax Relief,Making A Claim: How To Claim
OT05400,View changes,Oil Taxation Manual,PRT: Valuation Of Non-Arm's Gas - Valuation Of Light Gases From 1 January 1994 - Swing
OT10400,View changes,Oil Taxation Manual,PRT: Decommissioning - Allowable Expenditure: Abandonment Guarantees: Reimbursement Expenditure
OT10801,View changes,Oil Taxation Manual,Certainty - Decommissioning Relief Deeds
OT28701,View changes,Oil Taxation Manual,Decommissioning Relief Deeds
PTM054100,View changes,Pensions Tax Manual,Multiple Arrangements Under A Pension Scheme Providing Same Type Of Benefit
PTM055100,View changes,Pensions Tax Manual,General
RM3316,View changes,Repayment Claims Manual,How To Prepare And Issue Payable Order: Payable Order Not Collected
RM4010,View changes,Repayment Claims Manual,RO Instructions: Evidence Of PAYE Tax
STSM103000,View changes,Stamp Taxes On Shares Manual,Collectives: The Schedule 19 Charge: Contents
STSM103005,View changes,Stamp Taxes On Shares Manual,Collectives: FA99/SCH19 Charge On Units Surrendered Prior To 30 March 2014: Abolition
STSM103050,View changes,Stamp Taxes On Shares Manual,Liable And Accountable Person
STSM103080,View changes,Stamp Taxes On Shares Manual,Scope Of Stamp Duty Reserve Tax (SDRT)
STSM105105,View changes,Stamp Taxes On Shares Manual,In Specie Redemptions On Or After 30 March 2014
STSM106035,View changes,Stamp Taxes On Shares Manual,Exemptions - Third Party Transfers On Or After 30 March 2014
TCM0138210,View changes,Tax Credits Manual,Miscellaneous (P To V): Subject Access Requests – Identifying A SAR
TOBACCO-PRODUCTS-MANUFACTURING-MACHINERY-LICENSING-SCHEME,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Tobacco Products Manufacturing Machinery Licensing Scheme
TOBCSC8760,View changes,Tobacco: Anti-Smuggling Or The Duty To Avoid Facilitating Smuggling,Template For Penalty Notice
TOBPMMLS1000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Introduction
TOBPMMLS10000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Due Diligence
TOBPMMLS1050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Scope Of This Guidance
TOBPMMLS1100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,How This Is Intended To Help You
TOBPMMLS11000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,What Is Trading Without A Licence
TOBPMMLS12000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Forfeiture
TOBPMMLS13000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Reviews And Appeals
TOBPMMLS13050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Types Of Appeal And Procedure
TOBPMMLS13100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Reviewing/Appealing Against The Imposition Of A Penalty
TOBPMMLS13150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Reviewing/Appealing Against A Licence Approval Decision
TOBPMMLS14000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Rules For Transferring A Licence
TOBPMMLS2000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,The Scheme
TOBPMMLS2050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Overview
TOBPMMLS2100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,What Is The Relevant Law
TOBPMMLS2150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Overview Of The Law
TOBPMMLS2200,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Who Should Be Approved Under The Scheme
TOBPMMLS2250,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,UK Establishment
TOBPMMLS2300,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Tobacco Products Manufacturing Machinery
TOBPMMLS2350,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Tobacco Products Manufacturing Machinery Part
TOBPMMLS2400,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Exemptions From The Scheme
TOBPMMLS2450,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Haulage Of Tobacco Products Manufacturing Machines
TOBPMMLS2500,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Acting As A Broker For The Sale Of A Tobacco Products Manufacturing Machine
TOBPMMLS3000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Application For A Licence
TOBPMMLS3050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Application To Obtain A Licence Under The Scheme
TOBPMMLS3100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Information Needed For The Application
TOBPMMLS3150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Considerations When Granting A Licence
TOBPMMLS3200,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Eligibility For A Licence Under The Scheme
TOBPMMLS4000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Fit And Proper Test
TOBPMMLS4050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Overview
TOBPMMLS4100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Fit And Proper Criteria
TOBPMMLS4150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Evidence Of Illicit Trading
TOBPMMLS4200,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Key Persons
TOBPMMLS4250,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Connections To Other Non-Compliant Or Fraudulent Businesses
TOBPMMLS4300,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Key Persons With Criminal Convictions
TOBPMMLS4350,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,False Or Incomplete Information Provided When Applying For The Licence
TOBPMMLS4400,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Record Keeping
TOBPMMLS4450,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Commercial Viability
TOBPMMLS4500,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Outstanding Departmental Debts
TOBPMMLS4550,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Due Dilligence
TOBPMMLS4600,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Applicant That Have Previously Traded Without A Licence In The UK
TOBPMMLS4650,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Reasonable And Proportionate Tests
TOBPMMLS5000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Granting Or Refusing An Application For A Licence
TOBPMMLS5050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Granting A Licence
TOBPMMLS5100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Granting A Licence With Conditions
TOBPMMLS5150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Refusing An Application
TOBPMMLS5200,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,How Many Tobacco Products Manufacturing Machinery Licences Are Required
TOBPMMLS6000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations
TOBPMMLS6050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations For The Individual/Company On Receipt Of The Licence
TOBPMMLS6100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations For Tobacco Products Manufacturing Machine Manufacturers
TOBPMMLS6150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations For Any Person Purchasing A Tobacco Products Manufacturing Machine
TOBPMMLS6200,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations For Any Person Selling A Tobacco Products Manufacturing Machine
TOBPMMLS6250,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations When Selling A Tobacco Products Manufacturing Machine Outside Of The UK
TOBPMMLS6300,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations When Destroying A Tobacco Products Manufacturing Machine
TOBPMMLS6350,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations When Importing A Tobacco Products Manufacturing Machine Into The UK
TOBPMMLS6400,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Obligations When Purchasing Parts For A Tobacco Products Manufacturing Machine
TOBPMMLS7000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Variations And Revocations
TOBPMMLS7050,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Variations That Must Be Notified
TOBPMMLS7100,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Revocation Of Licence
TOBPMMLS7150,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Licence No Longer Required
TOBPMMLS8000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Record Keeping
TOBPMMLS9000,View changes,Tobacco Products Manufacturing Machinery Licensing Scheme,Offences/Penalties
TPC60040,View changes,Television Production Company Manual,Abandonment
VATPOSS02000,View changes,VAT Manuals,Place Of Supply Of Services: 2010 Changes
VATWELF2000,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?
VATWELF2010,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: Suppliers Of Welfare Services - The Law
VATWELF2020,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: Brief Background To The Law
VATWELF2050,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Is A Charity?
VATWELF2060,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are Public Bodies?
VATWELF2080,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are State-Regulated Private Welfare Institutions And Agencies?: Contents
VATWELF2090,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are State-Regulated Private Welfare Institutions And Agencies?: The Law
VATWELF2100,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are State-Regulated Private Welfare Institutions And Agencies?: Institutions - The Historical Position
VATWELF2120,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are State-Regulated Private Welfare Institutions And Agencies?: Commercial Welfare Providers
VATWELF2140,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are State-Regulated Private Welfare Institutions And Agencies?: Agencies - The Historic Position
VATWELF2160,View changes,VAT Manuals,Which Bodies Provide Exempt Welfare Services?: What Are State-Regulated Private Welfare Institutions And Agencies?: Effective Date Of State-Regulation
VATWELF4000,View changes,VAT Manuals,Spiritual Welfare
VATWELF4010,View changes,VAT Manuals,Spiritual Welfare: About VATWELF4000
VATWELF4020,View changes,VAT Manuals,Spiritual Welfare: Legal Basis For Exemption: Contents
VATWELF4030,View changes,VAT Manuals,Law
VATWELF4040,View changes,VAT Manuals,Interpretation
VATWELF4050,View changes,VAT Manuals,Spiritual Welfare: Which Supplies Of Spiritual Welfare Are Exempt From VAT?
VATWELF4060,View changes,VAT Manuals,Spiritual Welfare: Supplies That Are Not Spiritual Welfare
VATWELF4070,View changes,VAT Manuals,Spiritual Welfare: Goods And Services Incidental To Spiritual Welfare
VCM16060,View changes,Venture Capital Schemes Manual,EIS: General Requirements: Meaning Of 'Knowledge-Intensive Company'
