ChapterNum,Title,Title,Para,Para
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Incidental costs of purchase of shares in a subsidiary,Conditions
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Normally, it is correct accounting practice to spread the costs of loan finance used to buy shares. However, CTA09/S320 applies to allow relief in the year in which the costs were incurred and capitalised where",There are three conditions that must be satisfied for special treatment at S320 to apply:
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the shares are held as a fixed capital asset, and",An amount must be in respect of loan relationship matters in s306A(1);
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the incidental costs come within CTA09/S307(4), and",GAAP allows the amount to be recognised in determining the carrying value of an asset or liability;
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,it is generally accepted accounting practice to capitalise such costs.,any profit or loss for corporation tax purposes in relation to that asset or liability will not fall to be calculated in accordance with generally accepted accounting practice.
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,Exchange gains and losses,CTA09/S486B(8)
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,Arrangements that produce returns economically equivalent to interest will not always be made in the functional or accounting currency of the company receiving the return.,Exchange gains and losses
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,"Many returns from such arrangements will be in the form of an increase in the carrying value of the investment providing the return. Where that is the case, it will be necessary for the carrying value of the investment to be translated into the functional or accounting currency of the company. Consequently, the return from the investment will be subject to exchange gains and losses.",Arrangements that produce returns economically equivalent to interest will not always be made in the functional or accounting currency of the company receiving the return.
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,CTA09/S486B(8) makes it clear that those exchange gains and losses will be included within the debits and credits brought into account under the disguised interest rules.,"Many returns from such arrangements will be in the form of an increase in the carrying value of the investment providing the return. Where that is the case, it will be necessary for the carrying value of the investment to be translated into the functional or accounting currency of the company. Consequently, the return from the investment will be subject to exchange gains and losses."
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,Example,CTA09/S486B(8) makes it clear that those exchange gains and losses will be included within the debits and credits brought into account under the disguised interest rules.
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,Company A has a functional currency of £sterling and has invested in shares in Company B in $US. The shares in Company B will produce a return to Company A that falls within the disguised interest rules.,Example
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,The shares in Company B have the following fair values:,Company A has a functional currency of £sterling and has invested in shares in Company B in $US. The shares in Company B will produce a return to Company A that falls within the disguised interest rules.
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,The £/$ spot rates of exchange on the appropriate days are:,The shares in Company B have the following fair values:
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,"The fair value of the Company B shares for the purposes of the Company A accounts are, therefore, as follows:",The £/$ spot rates of exchange on the appropriate days are:
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,"Consequently, S486B(8) makes it clear that the amounts to be brought into account under the disguised interest rules would be as follows:","The fair value of the Company B shares for the purposes of the Company A accounts are, therefore, as follows:"
CFM98400,CFM98400 Interest Restriction: Administration,CFM98400 Interest Restriction: Administration,CFM98420    Administration: reporting requirements,CFM98410    Administration: overview
CFM98400,CFM98400 Interest Restriction: Administration,CFM98400 Interest Restriction: Administration,CFM98630    Administration: UK group company,CFM98420    Administration: reporting requirements
CFM98400,CFM98400 Interest Restriction: Administration,CFM98400 Interest Restriction: Administration,CFM98720    Administration: enquiry procedure,CFM98630    Administration: UK group company
CFM98400,CFM98400 Interest Restriction: Administration,CFM98400 Interest Restriction: Administration,CFM98890    Administration: record retention and information powers,CFM98720    Administration: enquiry procedure
CFM98400,CFM98400 Interest Restriction: Administration,CFM98400 Interest Restriction: Administration,CFM98980    Administration: penalties,CFM98890    Administration: record retention and information powers
CG58013,CG58013 Issue Of Shares/Debentures,CG58013 Issue Of Shares/Debentures,An agreement for the sale of shares or debentures may provide that any deferred consideration payable may be satisfied by an issue of shares or debentures.,Page Archived.
CG58027,CG58027 Amounts Brought Into Account By TCGA92/S48,CG58027 Amounts Brought Into Account By TCGA92/S48,TCGA92/S138A (1) (d) & TCGA92/S138A (8),Page Archived.
CG58045,CG58045 Example,CG58045 Example,"This example illustrates the most common type of transaction. The consideration to be received is immediate cash, immediate shares and a deferred unascertainable amount of shares.",TCGA92/S279B(6)
CG58045,CG58045 Example,CG58045 Example,All events take place on or after 26 November 1996. Illustrative indexation factors have been provided for the purposes of this example only. Indexation allowance does not apply to Capital Gains Tax disposals from 2008-09.,"If the criteria (e.g. profit targets) for an earn-out payment are not met, the vendor might not receive any deferred consideration. This will result in an allowable loss on the disposal of the right to receive unascertainable deferred consideration - the `notional security’ for TCGA92/S138A, see the example in CG58095. A loss arising in a later year may not be carried back to set against gains of an earlier year (except on death, see [CG30430](https://www.gov.uk/hmrc-internal-manuals/capital-gains-manual/cg30430)+)."
CG58045,CG58045 Example,CG58045 Example,FACTS ,TCGA92/Ss279A to 279D allow losses on disposals of rights to receive unascertainable deferred consideration to be treated as if they arose in a year before the disposal occurred in certain circumstance (see CG15080 onwards). But section 279B(6) prevents those provisions from applying to earn-out rights that are assumed to be securities by section 138A.
CG58060,CG58060 Rights Partially Qualify,CG58060 Rights Partially Qualify,Page amalgamated into CG58030,TCGA92/S138A
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,In this example the conditions for an earn-out right being treated as a security by TCGA92/S138A are not met - the deferred consideration could be satisfied either in shares or in cash. The right cannot be treated as a security even though the deferred consideration is actually satisfied in shares. The possibility of the receipt of cash means that the right is not an ‘earn-out right’ - TCGA92/S138A (1)(d).,"This example illustrates the most common type of transaction. The consideration to be received is immediate cash, immediate shares and an unascertainable deferred amount of shares."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,Illustrative indexation factors have been provided for the purposes of this example only. Indexation allowance does not apply to Capital Gains Tax disposals from 2008-09.,"NOTE From 6 April 2008 only companies and other concerns within the charge to Corporation Tax may be able to claim indexation allowance, see CG17207."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"In year 0 the taxpayer acquires all the shares in T Ltd for £100,000.",FACTS
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,In year 10 the taxpayer sells all the shares in T Ltd at arm’s length to P Ltd.,"In year 0 V Ltd acquires all the shares in T Ltd for £100,000."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,The consideration is,In year 10 V Ltd sells the shares in T Ltd at arm’s length to P Ltd.
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"cash 500,000, plus",The consideration is
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"80,000 shares in P Ltd at market value of £2.25 each (total £180,000), plus","cash £500,000, and"
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"the right to two payments of future consideration, the amount depending on future profits of T Ltd, to be satisfied either by the issue of shares in P Ltd, or in cash if P Ltd so decides. The market value of the right to deferred consideration at the time of disposal is agreed by Shares and Assets Valuation at £300,000.","80,000 shares in P Ltd at market value of £2.25 each (total £180,000), and"
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"The further consideration is paid in the form of shares. In year 11 shares in P Ltd to the value of £202,940 (73,000 shares at £2.78 each) are issued to the vendor in part satisfaction of the right to deferred consideration. The market value of the remainder of the right at year 11 is agreed by Shares and Assets Valuation at £90,000.","the right to two payments of deferred consideration, the amount depending on future profits of T Ltd, to be satisfied only by an issue of shares in P Ltd."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"In year 12 shares in P Ltd to the value of £118,440 (47,000 shares at £2.52 each) are issued in full satisfaction of the remainder of the right to deferred consideration.","The market value of the right to deferred consideration at the time of disposal is agreed by Shares and Assets Valuation at £300,000."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,P Ltd is a quoted company. But the conditions for the earn-out right to be treated as a security by TCGA92/S138A are not met.,"In year 11 shares in P Ltd to the value of £202,940 (73,000 shares at £2.78 each) are issued to V Ltd in part satisfaction of the right to deferred consideration. The market value of the remainder of the right in year 11 is agreed by Shares and Assets Valuation at £90,000."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,COMPUTATIONS,"In year 12 shares in P Ltd to the value of £118,440 (47,000 shares at £2.52 each) are issued in full satisfaction of the remainder of the right to deferred consideration."
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,A) IMMEDIATE CHARGEABLE GAIN,P Ltd is a company whose shares are quoted on the Stock Exchange. All of the conditions are satisfied and the earn-out right is treated as a security by TCGA92/S138A.
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"Cash consideration plus value of right to receive deferred payments (£500,000 + £300,000)",COMPUTATIONS
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,B) COST OF SHARES IN P LTD,A) IMMEDIATE CHARGEABLE GAIN
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"This is the base cost and indexed pool of expenditure relating to the 80,000 shares in P Ltd acquired in year 10.",B) COST OF SHARES IN P LTD
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,C) COMPUTATIONS WHEN DEFERRED CONSIDERATION RECEIVED,C) COST OF NOTIONAL SECURITY = RIGHT TO DEFERRED CONSIDERATION
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,PART DISPOSALS OF RIGHT TO DEFERRED CONSIDERATION,D) COMPUTATIONS WHEN DEFERRED CONSIDERATION RECEIVED
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"From 30 November 1993, indexation is prevented from creating or increasing an allowable loss, see CG17700+.",E) SHARES IN P LTD
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,D) SHARES IN P LTD,EXPLANATION
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,EXPLANATION,The statutory reasons for the method of computation are;
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,The existence of a cash alternative in the sale agreement means that the right falls outside the terms of TCGA92/S138A. This applies whether or not shares are actually received in satisfaction of the right.,A. CASH RECEIVED
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,IMMEDIATE CHARGEABLE GAIN,The cash received is treated as a part-disposal of the old holding of T Ltd shares under TCGA92/S128(3). The apportionment of the base cost of the old holding is made on the basis of market value at the date of disposal (section 128(4) and TCGA92/S129).
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,There is an immediate chargeable gain on both the cash element and the value of the right to receive deferred unascertainable consideration.,B. COST OF SHARES IN P LTD
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,COST OF SHARES IN P LTD,V Ltd has acquired shares in P Ltd and a `notional security’ under the terms of section 138A. These are treated as two classes of shares. Together they form the `new holding’ under TCGA92/S127 as applied by TCGA92/S135(3).
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,The normal rules of TCGA92/S135 apply to the immediate issue of shares in P Ltd in exchange for shares in T Ltd.,If the shares in P Ltd are not quoted the apportionment should be made by reference to market values at the date of a disposal of all or part of the new holding.
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,COMPUTATIONS WHEN DEFERRED CONSIDERATION RECEIVED,D. RIGHT TO UNASCERTAINABLE DEFERRED CONSIDERATION
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,Even though the deferred consideration is actually received in shares TCGA92/S138A does not apply.,The part satisfaction of the right to deferred consideration is a part disposal of the right. But because of section 138A it is treated as a conversion of securities within TCGA92/S132. Section 127 applies with the necessary adaptations to the part disposal and part of the base cost of the `notional security’ is transferred to the holding of shares in P Ltd.
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,A chargeable gain or allowable loss is calculated for the part disposal of the right to receive deferred unascertainable consideration. As TCGA92/S138A does not apply the `right’ is not treated as a notional security and there is no exchange of securities.,The procedure for obtaining valuations of the right to unascertainable deferred consideration is described at CG14950.
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,SHARES IN P LTD,E. SHARES IN P LTD
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,CG58065 TCGA92/S138A Does Not Apply: Example,"All of the acquired shares go into the same pool of shares. The 80,000 shares acquired in year 10 have their base cost (and indexation) calculated in accordance with the normal rules of TCGA92/S135. The shares to which TCGA92/S138A did not apply go into the pool at market value at the date of acquisition.",The shares in P Ltd which are acquired go into the TCGA92/S104 holding of shares of the same class. The base cost and indexed pool of expenditure is calculated in accordance with B and C above.
CG58070,CG58070 Right To Receive Qcbs,CG58070 Right To Receive Qcbs,Page amalgamated into CG58035,TCGA92/S138A
CG64555,CG64555 Two Or More Residences: Job Related Accommodation,CG64555 Two Or More Residences: Job Related Accommodation,"the individual and his spouse or civil partner are contractually required to reside in premises provided by another person from which they carry on a particular trade, profession or vocation.","the individual or his spouse or civil partner are contractually required to reside in premises provided by another person from which they carry on a particular trade, profession or vocation."
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",CH11300 provides more detail.,"[We may require any person, see CH10400, to make a Self-Assessment return. Generally, they must keep the records they need to make and deliver a correct and complete return for the tax year or period, even if they don’t make a return every year. We do not specify in detail the type of record they must keep."
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","We can charge a penalty if a person fails to keep or retain records, see EM4650.","However, there are additional, more specific, requirements for"
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","For details of how records may be preserved, see CH13000.","persons carrying on a trade, profession or business alone or in partnership, and"
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","For details of how long records must be retained for, see CH14000.",companies.
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","For details of the documentation required for transfer-pricing purposes, see INTM433020.",](https://www.gov.uk/hmrc-internal-manuals/compliance-handbook/ch11300) provides more detail.
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",Records not required to be kept,"We can charge a penalty if a person fails to keep or retain records, see EM4650."
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",From 1 April 2009 HMRC can make regulations that may,"For details of how records may be preserved, see CH13000."
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",specify the records and supporting documents that must be kept,"For details of how long records must be retained for, see CH14000."
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",specify the records and supporting documents that need not be kept,"For details of the documentation required for transfer-pricing purposes, see INTM433020."
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","make different provisions for different cases, and",Records not required to be kept
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",specify records by way of a notice.,From 1 April 2009 HMRC can make regulations that may
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","We have not made any such regulations yet for IT, CGT or CT.",specify the records and supporting documents that must be kept
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",TMA70/S12B,specify the records and supporting documents that need not be kept
CH11200,"CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements","CH11200 Income Tax, Capital Gains Tax And Corporation Tax General Requirements",FA98/SCH18/PARA21,"make different provisions for different cases, and"
CH12100,CH12100 What VAT: General,CH12100 What VAT: General,specify records by way of a notice. See CH12400 for examples.,"specify records by way of a notice. See [A taxable person, see CH10400, must keep the records we specify in regulations, see CH12200. Apart from these, we do not require VAT registered businesses to keep their records in any set way."
CH12100,CH12100 What VAT: General,CH12100 What VAT: General,The VAT Regulations do not include any list of what records need not be kept.,"Some VAT special schemes do have detailed accounting requirements, see CH12400. If a VAT registered person wishes to, or must, use a special scheme then they must keep the records laid down for that scheme."
CH12100,CH12100 What VAT: General,CH12100 What VAT: General,VATA94/SCH11/PARA6,"All VAT registered entities, whether they are a business or not, must keep the same records. Almost all entities that are VAT registered will be businesses but there may be some that have significant non-business activities, for example charities. There may also be some which are not businesses at all but who have been registered because of significant purchases from other member states of the European Union."
CH12100,CH12100 What VAT: General,CH12100 What VAT: General,"SI1995/2518/Regs 31, 31A & 31B","We can charge a penalty if a person fails to keep or retain records, see VCP11133."
CH14200,CH14200 Avoidance,CH14200 Avoidance,"Although the law sets out the periods for which a person must retain their records, we can specify a shorter retention period. You will find more detail in CH14800 for direct taxes and CH15300 for VAT.","Although the law sets out the periods for which a person must retain their records, we can specify a shorter retention period. You will find more detail in ["
CH14200,CH14200 Avoidance,CH14200 Avoidance,A shorter retention period must not be specified in any circumstances in which you suspect that avoidance is involved. To do so would be against HMRC’s anti-avoidance strategy.,"Although the law sets out the periods for which a person must retain their records, we can specify a shorter retention period. You will find more detail in](https://www.gov.uk/hmrc-internal-manuals/compliance-handbook/ch14800) for direct taxes and ["
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,"The total liability after the enquiry is £29,000. The additional tax resulting from the enquiry of £4,000 is to be paid within 30 days of the enquiry settlement.",Example 1 - amended assessmentExample 2 - reduced payments on accountExample 3 - obligation to file a self assessment tax return after a notice to file has been withdrawn
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,"For Henrietta’s ITSA payments on account, we calculate late payment interest as explained in CH142240. We charge late payment interest on the amount by which each payment of £10,000 was underpaid, when compared with the lesser of",Example 1 - amended assessment
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,"the total of each reduced payment on account and 50% of the balancing payment, and","Henry self-assessed his 2012-13 income tax liability at £25,000. He made full ITSA payments on account, based on his previous year’s liability of £22,000:"
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,the amount of tax that would have been payable as a payment on account if the claim to reduce their payments on account had not been made.,"£11,000 on 31 January 2013, and"
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,"Therefore, late payment interest would be calculated as shown in the following table.","£11,000 on 31 July 2013."
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,Top of page,"He made a balancing payment of £3,000 on 31 January 2014."
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,Example 3 - obligation to file a self assessment tax return after a notice to file has been withdrawn,"After an enquiry into Henry’s 2012-13 return, his income tax liability for that year increased to £29,000."
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,Trevor received a notice to file his 2013-14 SA tax return. Trevor contacted us and requested that we withdraw the notice to file an SA tax return because he had no income that required an SA tax return to be filed. We granted this request and withdrew Trevor’s obligation to file an SA tax return.,"Henry has 30 days to pay the additional £4,000. However, the late payment interest start date is 31 January 2014, because this is the day by which he should have paid the additional £4,000 within his balancing payment for 2012-13 if his self-assessment had been correct."
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,On 20 March 2015 Trevor realised that he should have filed an SA tax return to include some self employed income that he had overlooked.,Top of page
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,"Late payment interest will start on 31 January 2015, which is the due date for payment that would have applied had the original notice to file not been withdrawn.",Example 2 - reduced payments on account
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,See CH140220 for how to calculate the number of days.,"Henrietta also had a liability of £22,000 for 2011-12, but made a claim to reduce her total ITSA payments on account from £22,000 to £20,000 because she expected her income tax liability for 2012-13 to be £2,000 less than for 2011-12. She then self-assessed her 2012-13 income tax liability at £25,000, so her balancing payment was £5,000 and the claim to reduce was therefore excessive. Henrietta paid each ITSA payment on account of £10,000 and the balancing payment of £5,000 on their due dates."
CH143260,CH143260 Amended Assessments And Discovery Assessments - Examples,CH143260 Amended Assessments And Discovery Assessments - Examples,FA09/SCH53/PARA3,"The total liability after the enquiry is £29,000. The additional tax resulting from the enquiry of £4,000 is to be paid within 30 days of the enquiry settlement."
