ChapterNumber,Link,Source,Title
CG34950P,View changes,Capital Gains Manual,CG34950 Procedures: Contents
CG34951,View changes,Capital Gains Manual,Settlor Trusts: Procedures: Returns By Settlors
CG34960,View changes,Capital Gains Manual,Settlor Trusts: Procedures: Assessment
CG34970,View changes,Capital Gains Manual,Settlor Trusts: Recovery By Settlor From Trustees Of Tax Paid
CG34973,View changes,Capital Gains Manual,Settlor Trusts: Form Of Certificate
CG34974,View changes,Capital Gains Manual,Settlor Trusts: Normal Case
CG35000,View changes,Capital Gains Manual,Settlor Trusts: New Claim That Several Settlements Exist
CG35000P,View changes,Capital Gains Manual,CG35000 Special Cases: Contents
CG35001,View changes,Capital Gains Manual,Settlor Trusts: New Claim That Several Settlements Exist
CG35002,View changes,Capital Gains Manual,Settlor Trusts: New Claim That Several Settlements Exist
CG35003,View changes,Capital Gains Manual,Settlor Trusts: New Claim That Several Settlements Exist
CG35010,View changes,Capital Gains Manual,Settlor Trusts: Maintenance Funds For Historic Buildings
CG35020,View changes,Capital Gains Manual,Settlor Trusts: Share Option Schemes: Trusts For Employees
CG35021,View changes,Capital Gains Manual,Settlor Trusts: Share Option Schemes: Trusts For Employees
CG35022,View changes,Capital Gains Manual,Settlor Trusts: Share Option Schemes: Trusts For Employees
CG35023,View changes,Capital Gains Manual,Settlor Trusts: Other Commercial Arrangements
CG35024,View changes,Capital Gains Manual,Settlor Trusts: Other Commercial Arrangements
CG37843,View changes,Capital Gains Manual,Separate Settlements: General Comments
CG37874,View changes,Capital Gains Manual,Separate Settlements: Conventional Use Of Special Powers Of Appointment
CG64719,View changes,Capital Gains Manual,Letting: Building Not A Dwelling House
CH142220,View changes,Compliance Handbook Manual,Overview
CH143280,View changes,Compliance Handbook Manual,Interest: Late Payment Interest: Special Provisions: Special Provisions For Start Dates: Amounts Postponed Due To Appeal
CH143320,View changes,Compliance Handbook Manual,Interest: Late Payment Interest: Special Provisions: Special Provisions For Start Dates: Over-Repayment Of Tax
CH180130,View changes,Compliance Handbook Manual,Process If We Find Dishonest Conduct
CH402175,View changes,Compliance Handbook Manual,Establishing Behaviour: Evasion: Voluntary Request For Contractual Disclosure Facility (CDF)
CISR69050,View changes,Construction Industry Scheme Reform Manual,Monthly Returns Return Period Exemption
CISR72060,View changes,Construction Industry Scheme Reform Manual,Payment And Deduction Statement
COG101400,View changes,Compliance Operational Guidance Manual,Authorisation Tab
COG80980,View changes,Compliance Operational Guidance Manual,The Risk Indicators You Will See In Magnify
COG931280,View changes,Compliance Operational Guidance Manual,Employer Has The Ability To Pay
COG931300,View changes,Compliance Operational Guidance Manual,No Prospects Of Recovering Tax From The Employee Or This Will Take A Very Long Time
COG932010,View changes,Compliance Operational Guidance Manual,How To Answer Replies Received: General
COG932130,View changes,Compliance Operational Guidance Manual,Action By SO Authorised Officer
COM300,View changes,COTAX Manual,Legislation Index: Contents
COM301,View changes,COTAX Manual,Index Of Legislation: CAA 1990
COM302,View changes,COTAX Manual,Index Of Legislation: Companies Act 2006 And Regulations
COM303,View changes,COTAX Manual,Index Of Legislation: Companies (Northern Ireland) Order 1986
COM304,View changes,COTAX Manual,Index Of Legislation: Computer Misuse Act 1990
COM305,View changes,COTAX Manual,Index Of Legislation: Data Protection Act 1998
COM306,View changes,COTAX Manual,Index Of Legislation: FA 1973
COM307,View changes,COTAX Manual,Index Of Legislation: F(No2)A 1987
COM308,View changes,COTAX Manual,Index Of Legislation: FA 1989
COM309,View changes,COTAX Manual,Index Of Legislation: FA 1990
COM310,View changes,COTAX Manual,Index Of Legislation: FA1996
COM311,View changes,COTAX Manual,Index Of Legislation: F(No2)A 1997
COM312,View changes,COTAX Manual,Index Of Legislation: FA 1998
COM313,View changes,COTAX Manual,Index Of Legislation: ICTA 1988
COM314,View changes,COTAX Manual,Index Of Legislation: Insurance Companies Act 1982
COM315,View changes,COTAX Manual,Index Of Legislation: Interpretation Act 1978
COM316,View changes,COTAX Manual,Index Of Legislation: Rules Of Supreme Court
COM317,View changes,COTAX Manual,Index Of Legislation: SI 1975 No 1960 (Sub Contractors In The Construction Industry)
COM318,View changes,COTAX Manual,Index Of Legislation: SI 1998 No 3175 (Corporation Tax (Instalment Payments) Regulations 1998)
COM319,View changes,COTAX Manual,Index Of Legislation: TCGA 1992
COM320,View changes,COTAX Manual,Index Of Legislation: TMA 1970
COM321,View changes,COTAX Manual,Index Of Legislation: Corporation Tax Act 2010
COM71000,View changes,COTAX Manual,Enquiries: CTSA Enquiries: Contents
COM71001,View changes,COTAX Manual,Introduction
COM71005,View changes,COTAX Manual,Time Limit For Opening An Enquiry
COM71010,View changes,COTAX Manual,Opening An Enquiry
COM71011,View changes,COTAX Manual,Functions
COM71012,View changes,COTAX Manual,Legislation
COM71013,View changes,COTAX Manual,Opening An Enquiry (Action Guide)
COM71020,View changes,COTAX Manual,Taxpayer Amendments
COM71021,View changes,COTAX Manual,Forms
COM71030,View changes,COTAX Manual,Repayment During Enquiry
COM71040,View changes,COTAX Manual,Making Jeopardy Amendments
COM71041,View changes,COTAX Manual,Making Jeopardy Amendments (Action Guide)
COM71050,View changes,COTAX Manual,Appeals Against Jeopardy Amendments
COM71051,View changes,COTAX Manual,Appeals Against Jeopardy Amendments (Action Guide)
COM71060,View changes,COTAX Manual,Enquiry Into Return For The Wrong Period
COM71061,View changes,COTAX Manual,Enquiry Into Return For The Wrong Period (Action Guide)
COM71080,View changes,COTAX Manual,Transferring An Enquiry To SCI
COM71090,View changes,COTAX Manual,Closing An Enquiry: Non-Contract Settlements
COM71091,View changes,COTAX Manual,Closing An Enquiry: Non-Contract Settlements (Action Guide Menu)
COM71092,View changes,COTAX Manual,Closing An Enquiry: Non-Contract Settlement Cases (Action Guide)
COM71093,View changes,COTAX Manual,Closing An Enquiry: Manual Closure Notices (Action Guide)
COM71094,View changes,COTAX Manual,Closing An Enquiry Non-Contract Settlement Helpcard For Caseworkers
COM71095,View changes,COTAX Manual,Closing An Enquiry Non-Contract Settlement Helpcard For COTAX Operators
COM71100,View changes,COTAX Manual,Closing An Enquiry: Reissuing A Closure Notice
COM71105,View changes,COTAX Manual,Closing An Enquiry: Error In Issuing A Closure Notice
COM71110,View changes,COTAX Manual,Closing An Enquiry: Revenue Amendments
COM71111,View changes,COTAX Manual,Closing An Enquiry: Revenue Amendments (Action Guide)
COM71120,View changes,COTAX Manual,Closing An Enquiry: Closing An Enquiry: Contract Settlements
COM71121,View changes,COTAX Manual,Closing An Enquiry: Closing An Enquiry: Contract Settlements (Action Guide)
COM71122,View changes,COTAX Manual,Closing An Enquiry: Closing An Enquiry: Contract Settlements Helpcard For Caseworkers
COM71123,View changes,COTAX Manual,Closing An Enquiry: Closing An Enquiry: Contract Settlements Helpcard For COTAX Operators
COM71125,View changes,COTAX Manual,Partial Closure Notice
COM71126,View changes,COTAX Manual,Partial Closure Notice (Action Guide)
COM71130,View changes,COTAX Manual,Closing An Enquiry: Discovery Assessments & Determinations
COM71140,View changes,COTAX Manual,Closing An Enquiry: Enquiries Under Schedule 1A TMA 1970
COM71141,View changes,COTAX Manual,Closing An Enquiry: Enquiries Under Schedule 1A TMA 1970 (Action Guide)
CTM95590,View changes,Company Taxation Manual,Corporation Tax Self-Assessment (CTSA): Discovery Determination: CTPF: Direction - Reducing Amount
DMBM676510,View changes,Debt Management And Banking Manual,HM Forces
DMBM676520,View changes,Debt Management And Banking Manual,Approaching The Relevant HM Forces Authority For Compulsory Deductions
DMBM676540,View changes,Debt Management And Banking Manual,Allocation Of Payment Received From Any Sum Recovered From The Funds Attached To An Arrestment
DT16404,View changes,Double Taxation Relief Manual,"DT: Double Taxation Agreement, Article 5: Shipping And Air Transport"
EIM06660,View changes,Employment Income Manual,Exemption For Suggestion Scheme Awards: Employee Making More Than One Successful Suggestion
EIM68610,View changes,Employment Income Manual,"Tax Treatment Of Recorders, Circuit Judges And Deputy Circuit Judges: Travelling And Subsistence Allowances"
EM6418,View changes,Enquiry Manual,Defaulting Taxpayer
FRS6000,View changes,VAT Manuals,Anti-Avoidance Rules: Contents
FRS6100,View changes,VAT Manuals,Anti-Avoidance Rules: What Are The Anti-Avoidance Exclusions?
FRS6200,View changes,VAT Manuals,Anti-Avoidance Rules: What Is The Definition Of An Associated Business?
FRS6300,View changes,VAT Manuals,Anti-Avoidance Rules: How Are The Tests Of 'Dominant Influence' And 'Organisational Links' To Be Interpreted?
FRS6400,View changes,VAT Manuals,Anti-Avoidance Rules: Are There Any Circumstances In Which HMRC Can Allow Associated Businesses To Join Or Remain In The Scheme?
FRS6500,View changes,VAT Manuals,Anti-Avoidance Rules: How Is VAT Reclaimed On ‘Capital Expenditure Goods’?
FRS6600,View changes,VAT Manuals,Anti-Avoidance Rules: What Is The Treatment Of Capital Assets On Leaving The Flat Rate Scheme?
HMAG31600,View changes,Holding And Movements Assurance Guidance,Revocation Of
HMAG31605,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Overview
HMAG31610,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Audit Trail And Governance
HMAG31615,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Right Of Appeal
HMAG31620,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Powers To Revoke An Approval
HMAG31625,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Reasons For Revoking An Approval
HMAG31630,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Revocation Due To A Lack Of Credibility Or Viability
HMAG31635,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Issuing Warning And Minded To Revoke Letters
HMAG31640,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Warning Letters
HMAG31645,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Minded To Revoke Letters
HMAG31650,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: The Business Requests Cancellation Of Approval
HMAG31655,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Establishing Where Goods Are Held Prior To Taking Revocation Action
HMAG31660,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Period Of Notice Prior To Actual Revocation Date
HMAG31665,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Conditions During Period Of Notice Prior To The Actual Revocation Date
HMAG31670,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Detail Required In A Letter Notifying A Period Of Notice
HMAG31675,View changes,Holding And Movements Assurance Guidance,Revocation Of Approval: Notifying Revocation Decisions
HMAG31680,View changes,Holding And Movements Assurance Guidance,Revocation Of Approvals: After The Period Of Notice Has Expired
IEIM111010,View changes,International Exchange Of Information Manual,Outward Requests: Overview
IHTM02032,View changes,Inheritance Tax Manual,Confidentiality And Disclosure Of Information: The General Rule On Disclosure And Its Operation: Who Is Entitled To Disclosure?
INTM210300,View changes,International Manual,Basic Rule
INTM267621,View changes,International Manual,Foreign Banks Trading In The UK Through Permanent Establishments: The Charge To Corporation Tax
NIM10052,View changes,National Insurance Manual,Calculation & Recording: Nics Due At Contracted-Out & Not Contracted-Out Rate: No Appropriate Personal Pension (APP) In Place: Contracted-Out Earnings Reach Or Exceed ET But Do Not Reach UEL: 2001/2002 Tax Year
NIM16450,View changes,National Insurance Manual,Workers From Within The European Economic Area Working Within The UK
NMWM16020,View changes,National Minimum Wage Manual,Duty Of Confidentiality And The Declaration Of Confidentiality
NMWM16070,View changes,National Minimum Wage Manual,"Legal Gateways; Providing Information To Another Government Department Or Public Authority, Including Local Authorities"
NMWM16316,View changes,National Minimum Wage Manual,Providing Information As A Witness To A Tribunal (No Direct HM Revenue & Customs’ Involvement)
OT18020,View changes,Oil Taxation Manual,PRT Transfer Of Licence Interests - Outline
OT18030,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Procedures
OT18040,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Unused Expenditure Relief
OT18050,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Unused Losses
OT18060,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Accumulated Capital Expenditure (Or Safeguard Capital Base)
OT18070,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Exempt Gas
OT18080,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Successive Transfers
OT18090,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Provisional Expenditure Allowance
OT18100,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Licence Debit/Credit
OT18110,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Payments On Account
OT18120,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Surrender Of New Participator’S Loss
OT18130,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Terminal Losses Accruing In Chargeable Period Ending After 17 March 2004
OT18131,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Terminal Losses: Example 1
OT18132,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Terminal Losses: Example 2
OT18133,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Terminal Losses: Example 3
OT18135,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Terminal Losses Accruing In Chargeable Periods Ending Before 17 March
OT18140,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Non-Field Expenditure
OT18150,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Oil Allowance
OT18160,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Long-Term Asset Disposals
OT18190,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Net Profit Period
OT18200,View changes,Oil Taxation Manual,PRT: Transfer Of Licence Interests - Participation Rights
PAYE103040,View changes,PAYE Manual,Contact Details
PAYE53013,View changes,PAYE Manual,CIS Deductions Suffered (RTI Employers) 2012-13 Onwards
PAYE55001,View changes,PAYE Manual,Introduction
PAYE57040,View changes,PAYE Manual,Complete Logging Of Batch
PAYE57300,View changes,PAYE Manual,Capture Van Benefit
PAYE57900,View changes,PAYE Manual,P11D Processing: Reminders For Outstanding Forms P11D: Contents
PAYE57901,View changes,PAYE Manual,Introduction
PAYE57910,View changes,PAYE Manual,Manual Issue Reminders
PAYE62025,View changes,PAYE Manual,Negligent Employers
PAYE62045,View changes,PAYE Manual,Work Item 40 - P45 Part 1 - Different Pay And Tax
RDRM32200,View changes,"Residence, Domicile And Remittance Basis Manual",Remittance Basis: Long Term UK Residents: Contents
RDRM32220,View changes,"Residence, Domicile And Remittance Basis Manual",Counting Years Of UK Residence (Seven Out Of Nine) - ITA07/S809
RDRM32230,View changes,"Residence, Domicile And Remittance Basis Manual",Counting Years Of UK Residence - Minors
RDRM32250,View changes,"Residence, Domicile And Remittance Basis Manual",Dual Residents - Treaty Non-Resident
RDRM32260,View changes,"Residence, Domicile And Remittance Basis Manual","Long Tem Residents Below £2,000 Threshold - Exception"
RM4186,View changes,Repayment Claims Manual,RO Instructions: How To Handle Employment And Pension Income
SAM125210,View changes,Self Assessment Manual,Returns: W055 Failed Online Amendments
SPE15485,View changes,Customs Special Procedures Manual,Excise Goods
STSM031010,View changes,Stamp Taxes On Shares Manual,Rates Of Tax
STSM031020,View changes,Stamp Taxes On Shares Manual,Territorial Scope
STSM031030,View changes,Stamp Taxes On Shares Manual,The Principal Charge
STSM031040,View changes,Stamp Taxes On Shares Manual,Agreement To Transfer
STSM031050,View changes,Stamp Taxes On Shares Manual,Conditional And Unconditional Agreements
STSM031070,View changes,Stamp Taxes On Shares Manual,Calculation Of The Tax
STSM031080,View changes,Stamp Taxes On Shares Manual,Unit Trusts
STSM031100,View changes,Stamp Taxes On Shares Manual,"Chargeable Securities - Stocks, Shares And Loan Capital"
STSM031120,View changes,Stamp Taxes On Shares Manual,Chargeable Securities - Options To Acquire And Rights To Allotment Or Subscription
STSM031130,View changes,Stamp Taxes On Shares Manual,Chargeable Securities - Units Under A Unit Trust Scheme
STSM031140,View changes,Stamp Taxes On Shares Manual,Instalment Arrangements
STSM031150,View changes,Stamp Taxes On Shares Manual,Relationship With Stamp Duty
STSM031160,View changes,Stamp Taxes On Shares Manual,Reliefs And Exemptions
STSM031170,View changes,Stamp Taxes On Shares Manual,Interaction With Stamp Duty And Exemptions
STSM101060,View changes,Stamp Taxes On Shares Manual,Exchange Traded Fund
STSM101070,View changes,Stamp Taxes On Shares Manual,Classes Of Units And Open-Ended Investment Company (OEIC) Shares
STSM101080,View changes,Stamp Taxes On Shares Manual,Umbrella Collective Investment Schemes
STSM101090,View changes,Stamp Taxes On Shares Manual,Open And Closed-Ended Investment Companies
STSM101100,View changes,Stamp Taxes On Shares Manual,Schemes Not Treated As Unit Trust Schemes
STSM104010,View changes,Stamp Taxes On Shares Manual,Stamp Duty Reserve Tax (SDRT) Charge On Surrender Value
STSM104030,View changes,Stamp Taxes On Shares Manual,Income And Accumulation Units
STSM104040,View changes,Stamp Taxes On Shares Manual,Classes Of Shares In Open-Ended Investment Company
STSM104050,View changes,Stamp Taxes On Shares Manual,Cancelled/Altered Deals
STSM104080,View changes,Stamp Taxes On Shares Manual,Information Required In A Monthly Stamp Duty Reserve Tax Notice
STSM107010,View changes,Stamp Taxes On Shares Manual,Overview - Contribution To A Unit Trust / Open-Ended Investment Company
STSM107020,View changes,Stamp Taxes On Shares Manual,Contribution To An Existing Unit Trust / Open-Ended Investment Company
STSM107030,View changes,Stamp Taxes On Shares Manual,Pro Rata In Specie Contribution To An Existing Unit Trust / Open-Ended Investment Company
STSM107040,View changes,Stamp Taxes On Shares Manual,"Investments Acquired By, Or Transferred To, A Collective Investment Scheme"
STSM107050,View changes,Stamp Taxes On Shares Manual,Conversion Of An Authorised Unit Trust To An Open-Ended Investment Company
STSM107060,View changes,Stamp Taxes On Shares Manual,Amalgamation Of An Authorised Unit Trust With An Open-Ended Investment Company
STSM107070,View changes,Stamp Taxes On Shares Manual,Merger Of Authorised Unit Trusts
STSM107080,View changes,Stamp Taxes On Shares Manual,"Mergers, Partitions And Reconstructions Of Authorised Unit Trusts And Open-Ended Investment Companies - Stamp Duty Reserve Tax"
STSM107090,View changes,Stamp Taxes On Shares Manual,"Mergers, Partitions And Reconstructions Of Authorised Unit Trusts And Open-Ended Investment Companies - Stamp Duty"
STSM107100,View changes,Stamp Taxes On Shares Manual,Termination Of A Collective Investment Scheme
STSM107110,View changes,Stamp Taxes On Shares Manual,Fund Supermarkets
STSM107120,View changes,Stamp Taxes On Shares Manual,Fund Supermarkets - Stamp Duty Reserve Tax Implications
STSM107130,View changes,Stamp Taxes On Shares Manual,Fund Supermarkets - Switching
TCM1000290,View changes,Tax Credits Manual,How To Use The CPT Desktop Screen
TCTM04227,View changes,Tax Credit Technical Manual,Income: Purposes
TSEM9964,View changes,"Trusts, Settlements And Estates Manual",Specific Types Of Property: Shares - Taxation Of Dividends
TTM17496,View changes,Tonnage Tax Manual,Part X The Ring Fence - Capital Allowances - Ship Leasing - Para 90 Defeased Leasing
VATDSAG01000,View changes,VAT Manuals,Introduction: Contents
VATDSAG01050,View changes,VAT Manuals,Introduction: Scope Of This Guidance
VATDSAG01100,View changes,VAT Manuals,Introduction: Law
VATDSAG01150,View changes,VAT Manuals,Introduction: The Role Of VAT Policy
VATDSAG02000,View changes,VAT Manuals,Handling Business Separation Cases: Contents
VATDSAG02050,View changes,VAT Manuals,An Overview
VATDSAG02100,View changes,VAT Manuals,Possible Conclusions
VATDSAG02150,View changes,VAT Manuals,Recommended Approach
VATDSAG02200,View changes,VAT Manuals,Using The Checklists
VATDSAG03000,View changes,VAT Manuals,Single Entity: Contents
VATDSAG03050,View changes,VAT Manuals,What Do We Mean By Single Entity?
VATDSAG03100,View changes,VAT Manuals,How Do We Prove Single Entity?
VATDSAG03150,View changes,VAT Manuals,Is There A Single Entity?
VATDSAG03200,View changes,VAT Manuals,Intention
VATDSAG03250,View changes,VAT Manuals,Related Parties
VATDSAG04000,View changes,VAT Manuals,Single Entity And Partnerships: Contents
VATDSAG04050,View changes,VAT Manuals,What Is A Partnership?
VATDSAG04100,View changes,VAT Manuals,The Partnership Act Definition Of Partnership
VATDSAG04150,View changes,VAT Manuals,Contract And Intention
VATDSAG04200,View changes,VAT Manuals,The Partnership Agreement
VATDSAG04350,View changes,VAT Manuals,Scottish Partnerships
VATDSAG04400,View changes,VAT Manuals,Partnership Checklist - Introduction
VATDSAG04450,View changes,VAT Manuals,Partnership Checklist - Finances
VATDSAG04500,View changes,VAT Manuals,Partnership Checklist: Holding Out
VATDSAG04550,View changes,VAT Manuals,Partnership Checklist: Legal Documentation
VATDSAG04600,View changes,VAT Manuals,Partnership Checklist: Accounts And Records
VATDSAG04650,View changes,VAT Manuals,What To Do When You Are Satisfied That There Is A Single Legal Entity
VATDSAG05000,View changes,VAT Manuals,Disaggregation: Contents
VATDSAG05050,View changes,VAT Manuals,Disaggregation: Cases Where Single Entity Cannot Be Demonstrated
VATDSAG05100,View changes,VAT Manuals,Disaggregation: Types Of Disaggregation
VATDSAG05150,View changes,VAT Manuals,Disaggregation: The Law
VATDSAG05200,View changes,VAT Manuals,Disaggregation: Arrangements Which Are Not Artificial Separation
VATDSAG06000,View changes,VAT Manuals,Determining Whether Disaggregation Has Occurred: Contents
VATDSAG06050,View changes,VAT Manuals,Background
VATDSAG06100,View changes,VAT Manuals,Is Each Entity Making Taxable Supplies?
VATDSAG06150,View changes,VAT Manuals,Is There A Single Taxable Person?
VATDSAG06200,View changes,VAT Manuals,Artificial Separation Checklist - Introduction
VATDSAG06250,View changes,VAT Manuals,Artificial Separation Checklist - VAT History
VATDSAG06300,View changes,VAT Manuals,Artificial Separation Checklist - Employees
VATDSAG06350,View changes,VAT Manuals,Artificial Separation Checklist - Finances
VATDSAG06400,View changes,VAT Manuals,Artificial Separation Checklist - Organisation
VATDSAG06450,View changes,VAT Manuals,Artificial Separation Checklist - Legal Documents
VATDSAG06500,View changes,VAT Manuals,Artificial Separation Checklist - Customer Base
