ChapterNumber,CharCountDiff,LevDistance,Link,Title,paraChangeCount,textLevTotal
CAPI04100,1.0,5.0,View changes,CAPI04100 Specific Customs Duty,0.0,0.0
CAPI04150,1.0,5.0,View changes,CAPI04150 Ad Valorem Customs Duty,0.0,0.0
CAPI04200,1.0,7.0,View changes,CAPI04200 Combination Of Specific And Ad Valorem Customs Duty,0.0,0.0
CAPI04250,1.0,5.0,View changes,CAPI04250 Countervailing Charge,0.0,0.0
CAPI04300,1.0,5.0,View changes,CAPI04300 Preferential Rates Of CAP Duty,0.0,0.0
CAPI04350,1.0,4.0,View changes,CAPI04350 Safeguard Measures,0.0,0.0
CAPI04400,1.0,5.0,View changes,CAPI04400 Euro Conversion Rates,0.0,0.0
CAPI04450,1.0,5.0,View changes,CAPI04450 Discrepancies Affecting The CAP Charge,0.0,0.0
CAPI04500,1.0,5.0,View changes,CAPI04500 Further Information,0.0,0.0
CAPI05000,1.0,6.0,View changes,CAPI05000 Import Procedures: Contents,0.0,0.0
CAPI05050,1.0,7.0,View changes,CAPI05050 Place Of Discharge,0.0,0.0
CAPI05100,1.0,5.0,View changes,CAPI05100 Acceptance Of Declarations,0.0,0.0
CAPI05150,1.0,7.0,View changes,CAPI05150 Checking Of Declarations,0.0,0.0
CAPI05200,1.0,5.0,View changes,CAPI05200 Substitute Declarations,0.0,0.0
CAPI05250,1.0,5.0,View changes,CAPI05250 CAP Licences,0.0,0.0
CAPI05300,1.0,5.0,View changes,CAPI05300 Potential Offence Cases,0.0,0.0
CAPI05350,1.0,4.0,View changes,CAPI05350 Reporting Of Irregularities,0.0,0.0
CAPI06000,1.0,5.0,View changes,CAPI06000 Control Procedures On Miscellaneous CAP Importations: Contents,0.0,0.0
CAPI06050,1.0,5.0,View changes,CAPI06050 Goods In Transit Or Transhipment,0.0,0.0
CAPI06100,1.0,6.0,View changes,CAPI06100 End-Use And Use/Destination Control,0.0,0.0
CAPI06150,1.0,7.0,View changes,CAPI06150 Re-Imports After Processing Abroad,0.0,0.0
CAPI06200,1.0,5.0,View changes,CAPI06200 Returned Goods Relief (RGR),0.0,0.0
CAPI06250,1.0,7.0,View changes,CAPI06250 Temporarily Imported Goods,0.0,0.0
CAPI06300,1.0,5.0,View changes,CAPI06300 Processing Under Customs Control (PCC),0.0,0.0
CAPI06350,1.0,5.0,View changes,CAPI06350 Customs Warehousing (CW),0.0,0.0
CAPI06400,1.0,5.0,View changes,CAPI06400 Free Zones,0.0,0.0
CAPI07000,1.0,5.0,View changes,CAPI07000 CAP Import Licences: Contents,0.0,0.0
CAPI07050,1.0,4.0,View changes,CAPI07050 General,0.0,0.0
CAPI07100,1.0,5.0,View changes,CAPI07100 CAP Licences,0.0,0.0
CCM15000,0.0,4.0,View changes,CCM15000 Chapter 15 - Undisclosed Partners: Contents,0.0,0.0
CCM15010,0.0,4.0,View changes,CCM15010 Claims To Tax Credits,0.0,0.0
CCM15025,0.0,6.0,View changes,CCM15025 Prohibited Relationships,0.0,0.0
CCM15310,0.0,4.0,View changes,CCM15310 Same-Sex Couples - Incorrect Claims,0.0,0.0
CFM11080,0.0,3.0,View changes,CFM11080 The Cost Of Borrowing,0.0,0.0
CFM11110,0.0,3.0,View changes,CFM11110 The Cost Of Borrowing: Hybrid Debt,0.0,0.0
CFM11120,0.0,3.0,View changes,CFM11120 Alternative Finance,0.0,0.0
CFM1160,0.0,3.0,View changes,CFM1160 Converting From The Old Corporate Finance Manual,0.0,0.0
CFM12070,0.0,3.0,View changes,CFM12070 Exchange Rates Used In Company Accounts,0.0,0.0
CFM13110,0.0,3.0,View changes,CFM13110 Types Of Derivative,0.0,0.0
CFM13280,0.0,3.0,View changes,CFM13280 Interest Rate Risk,0.0,0.0
CFM13330,0.0,3.0,View changes,CFM13330 Interest Rate Options,0.0,0.0
CFM13340,0.0,3.0,View changes,CFM13340 Interest Rate Caps And Floors,0.0,0.0
CFM13360,0.0,3.0,View changes,CFM13360 Credit Risk,0.0,0.0
CFM13390,0.0,3.0,View changes,CFM13390 Foreign Exchange Risk,0.0,0.0
CFM13400,0.0,1.0,View changes,CFM13400 Hedging Foreign Exchange Risk,0.0,0.0
CFM13440,54.0,55.0,View changes,CFM13440 Commodity Risk,0.0,0.0
CFM21010,0.0,2.0,View changes,CFM21010 Overview,0.0,0.0
CFM21030,0.0,2.0,View changes,CFM21030 Terms Used In Guidance,0.0,0.0
CFM21060,0.0,2.0,View changes,"CFM21060 Financial Instrument, Financial Assets, Financial Liabilities",0.0,0.0
CFM21100,0.0,2.0,View changes,CFM21100 Equity Instrument,0.0,0.0
CFM21170,0.0,2.0,View changes,CFM21170 Amortised Cost,0.0,0.0
CFM21220,0.0,2.0,View changes,CFM21220 Liability And Equity: Overview,0.0,0.0
CFM21240,0.0,2.0,View changes,CFM21240 Liability And Equity: Derivatives Not Classified As Equity,0.0,0.0
CFM21260,0.0,2.0,View changes,CFM21260 Liability And Equity: Compound Financial Instruments: Accounting Treatment,0.0,0.0
CFM21300,0.0,2.0,View changes,CFM21300 Offsetting: Overview,0.0,0.0
CFM21505,0.0,2.0,View changes,CFM21505 International Financial Reporting Standards: Overview,0.0,0.0
CFM21506,1.0,3.0,View changes,CFM21506 International Financial Reporting Standards: History Of IAS 32 And IAS 39,1.0,1.0
CFM21520,0.0,2.0,View changes,CFM21520 International Financial Reporting Standards: IAS 39: Classification Of Financial Assets And Financial Liabilities,0.0,0.0
CFM21610,0.0,2.0,View changes,CFM21610 International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets,0.0,0.0
CFM21640,0.0,2.0,View changes,CFM21640 Accounting For Corporate Finance: International Accounting Standards: IAS 39: Measurement Of Financial Assets: Amortised Cost,0.0,0.0
CFM21670,0.0,2.0,View changes,CFM21670 International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets: Impairment,0.0,0.0
CFM22510,4.0,5.0,View changes,CFM22510 Borrowers: Accounting Standards Overview,4.0,4.0
CFM22520,14.0,15.0,View changes,CFM22520 Borrowers: Accounting Standards: FRS 4,14.0,14.0
CFM22530,2.0,3.0,View changes,CFM22530 Borrowers: Accruals Accounting,2.0,2.0
CFM23010,0.0,1.0,View changes,CFM23010 FRS 102: Overview,0.0,0.0
CFM23015,6.0,7.0,View changes,CFM23015 FRS 102: History Of FRS 102,6.0,6.0
CFM23045,3.0,5.0,View changes,CFM23045 FRS 102: Measurement Of Basic Financial Instruments: Amortised Cost,3.0,3.0
CFM23068,1.0,3.0,View changes,CFM23068 FRS 102: Impairment: Accounting Treatment,1.0,1.0
CFM23075,1.0,3.0,View changes,CFM23075 FRS 102: Derecognition Of A Financial Asset,1.0,1.0
CFM23078,2.0,4.0,View changes,CFM23078 FRS 102: Derecognition Of A Financial Liability,2.0,2.0
CFM24200,0.0,2.0,View changes,CFM24200 What Is A Derivative Financial Instrument?,0.0,0.0
CFM24300,1.0,3.0,View changes,"CFM24300 Accounting For Derivatives Under IFRS, New UK GAAP And FRS 26",1.0,1.0
CFM24430,3.0,5.0,View changes,CFM24430 Accounting For Interest Rate Swaps Held To Manage Interest Rate Risk Under Old UK GAAP (Excluding FRS 26),3.0,3.0
CFM25080,0.0,2.0,View changes,CFM25080 Comparison Of Compound And Hybrid Financial Instruments,0.0,0.0
CFM26015,0.0,2.0,View changes,"CFM26015 Summary Of Differences Between SSAP 20 And FRS 23, IFRS And New UK GAAP",0.0,0.0
CFM26030,0.0,2.0,View changes,CFM26030 Basic Principles: Initial Recognition Of Transactions,0.0,0.0
CFM26050,2.0,4.0,View changes,CFM26050 Basic Principles: Profit And Loss Account,2.0,2.0
CFM26060,0.0,2.0,View changes,CFM26060 SSAP 20: Recognition And The Accruals Concept,0.0,0.0
CFM26080,3.0,5.0,View changes,CFM26080 SSAP 20: Hedging A Trading Transaction With A Forward Contract,3.0,3.0
CFM26090,1.0,3.0,View changes,CFM26090 SSAP 20: Hedging A Non-Trading Transaction,1.0,1.0
CFM26100,0.0,2.0,View changes,CFM26100 SSAP 20: Speculative Currency Contracts,0.0,0.0
CFM26270,0.0,2.0,View changes,CFM26270 Foreign Operations: Temporal Method,0.0,0.0
CFM26290,29.0,31.0,View changes,CFM26290 Foreign Operations: Temporal Method: When To Use,0.0,0.0
CFM27015,1.0,3.0,View changes,CFM27015 Hedging: Development Of Hedge Accounting,1.0,1.0
CFM30110,0.0,2.0,View changes,CFM30110 A Brief History And A Short Guide,0.0,0.0
CFM30140,0.0,2.0,View changes,CFM30140 The Meaning Of ‘Loan Relationship’,0.0,0.0
CFM33120,0.0,2.0,View changes,CFM33120 GAAP: Amounts ‘Not Fully Recognised’ For Accounting Purposes,0.0,0.0
CFM33160,3053.0,7939.0,View changes,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,14.0,5245.0
CFM33170,0.0,2.0,View changes,CFM33170 GAAP: Amounts In Equity,0.0,0.0
CFM33204,0.0,2.0,View changes,CFM33204 Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: ‘Entitlement To Shares’,0.0,0.0
CFM33205,0.0,2.0,View changes,CFM33205 Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: Debt For Equity Swaps On Or After 9 November 2009,0.0,0.0
CFM33280,0.0,2.0,View changes,CFM33280 Company Ceasing To Be Party To A Loan Relationship,0.0,0.0
CFM35010,0.0,2.0,View changes,CFM35010 Overview,0.0,0.0
CFM35030,0.0,2.0,View changes,CFM35030 A Summary Of The Key Rules,0.0,0.0
CFM35100,0.0,2.0,View changes,CFM35100 Connected Companies: Contents,0.0,0.0
CFM35120,0.0,2.0,View changes,CFM35120 Connected Companies: What Is Control?,0.0,0.0
CFM35170,0.0,2.0,View changes,CFM35170 Connected Companies: Use Of The Amortised Cost Basis,0.0,0.0
CFM35420,0.0,2.0,View changes,CFM35420 Debtors,0.0,0.0
CFM35440,0.0,2.0,View changes,CFM35440 Debtors: Deemed Releases Of Impaired Debt: Tax Treatment,0.0,0.0
CFM35540,0.0,2.0,View changes,CFM35540 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Corporate Rescue Exception,0.0,0.0
CFM35560,0.0,3.0,View changes,CFM35560 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Equity-For-Debt Exception,0.0,0.0
CFM35590,0.0,4.0,View changes,CFM35590 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 27 February 2012: Anti-Avoidance,0.0,0.0
CFM35660,0.0,4.0,View changes,CFM35660 Amount Of Restriction: Effect Of Releases,0.0,0.0
CFM35810,0.0,3.0,View changes,CFM35810 Overview,0.0,0.0
CFM35860,0.0,3.0,View changes,CFM35860 The Four Cases,0.0,0.0
CFM36080,0.0,3.0,View changes,CFM36080 Partnerships: Company Partners And Connected Debtors,0.0,0.0
CFM37320,0.0,4.0,View changes,CFM37320 Special And Close Companies: Aps Beginning On Or After 1 April 2009,0.0,0.0
CFM37480,0.0,2.0,View changes,CFM37480 When HMRC Will Satisfy A Repayment Claim Using Funding Bonds,0.0,0.0
CFM37610,0.0,2.0,View changes,CFM37610 ‘Hybrid’ Securities With Embedded Derivatives: Overview,0.0,0.0
CFM37620,0.0,2.0,View changes,CFM37620 ‘Hybrid’ Securities With Embedded Derivatives: What Is A ‘Hybrid Security’?,0.0,0.0
CFM37630,0.0,2.0,View changes,CFM37630 ‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Bifurcation,0.0,0.0
CFM37640,0.0,2.0,View changes,CFM37640 ‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Mechanics Of Bifurcation,0.0,0.0
CFM37690,0.0,4.0,View changes,CFM37690 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Securities - Holders,0.0,0.0
CFM37700,0.0,3.0,View changes,CFM37700 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Convertible Securities - Issuers,0.0,0.0
CFM37710,0.0,4.0,View changes,CFM37710 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Asset-Linked Securities - Issuers,0.0,0.0
CFM38020,0.0,3.0,View changes,CFM38020 Overview: Other Anti-Avoidance Rules,0.0,0.0
CFM38100,0.0,2.0,View changes,CFM38100 Unallowable Purpose: Contents,0.0,0.0
CFM38120,0.0,2.0,View changes,CFM38120 Definition,0.0,0.0
CFM38140,0.0,2.0,View changes,CFM38140 Tax Avoidance Purpose,0.0,0.0
CFM38510,0.0,3.0,View changes,CFM38510 Forex: Overview,0.0,0.0
CFM38570,0.0,3.0,View changes,CFM38570 Forex: Non-Arm’S Length Transactions: Non Arm's Length Creditor Relationships: Meaning Of ‘Corresponding Debtor Relationship’,0.0,0.0
CFM38580,0.0,3.0,View changes,CFM38580 Forex: Non-Arm’S Length Transactions: Non-Arm’S Length Creditor Relationships: Exception Where Loan Exceeds Arm’S Length Amount,0.0,0.0
CFM39000,0.0,3.0,View changes,CFM39000 Other Rules,0.0,0.0
CFM39010,0.0,3.0,View changes,CFM39010 Overview Of Other Anti-Avoidance Rules,0.0,0.0
CFM39030,0.0,3.0,View changes,CFM39030 Artificial Payments Of Interest: Sole Or Main Benefit,0.0,0.0
CFM39035,1.0,4.0,View changes,CFM39035 Connected Parties Deriving Benefit From Creditor Relationships,1.0,1.0
CFM39050,0.0,2.0,View changes,CFM39050 Reset Bonds: Mirror Bond Scheme,0.0,0.0
CFM39110,0.0,2.0,View changes,CFM39110 Index-Linked Gilt-Edged Securities: Introduction,0.0,0.0
CFM39160,0.0,2.0,View changes,CFM39160 Index-Linked Gilt-Edged Securities: Economic Profits And Losses,0.0,0.0
CFM39170,0.0,2.0,View changes,CFM39170 Index-Linked Gilt-Edged Securities: The Relevant Group,0.0,0.0
CFM42040,0.0,2.0,View changes,CFM42040 The Main Rules,0.0,0.0
CFM42100,22.0,2748.0,View changes,CFM42100 Exchange Gains And Losses,3.0,23.0
CFM43040,0.0,2.0,View changes,CFM43040 Qualifying Investments,0.0,0.0
CFM44210,0.0,2.0,View changes,CFM44210 Investment Bond Arrangements: Conditions: Accounting Test,0.0,0.0
CFM44230,0.0,2.0,View changes,CFM44230 Investment Bond Arrangements: Tax Treatment,0.0,0.0
CFM44300,2.0,4.0,View changes,CFM44300 Loan Relationships: Other Tax Rules: Distributions,2.0,2.0
CFM45080,0.0,2.0,View changes,CFM45080 Shares With Guaranteed Returns: Outstanding Third Party Obligations: Meaning Of Interest Like Investment,0.0,0.0
CFM45090,1.0,3.0,View changes,CFM45090 Shares With Guaranteed Returns: Outstanding Third Party Obligations: Comparison With Commercial Rate Of Interest,1.0,1.0
CFM45150,0.0,2.0,View changes,CFM45150 Shares With Guaranteed Returns: Non-Qualifying Shares: The ‘Increasing Value Condition’,0.0,0.0
CFM45200,0.0,2.0,View changes,CFM45200 Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition,0.0,0.0
CFM45240,0.0,2.0,View changes,CFM45240 Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition: Unallowable Purposes Test,0.0,0.0
CFM45250,0.0,2.0,View changes,CFM45250 Shares With Guaranteed Returns: Non-Qualifying Shares: The Associated Transactions Condition,0.0,0.0
CFM46050,0.0,1.0,View changes,CFM46050 Manufactured Interest,0.0,0.0
CFM46350,54.0,56.0,View changes,CFM46350 Repos: Tax Rules: Debtor Repos,0.0,0.0
CFM46370,0.0,2.0,View changes,CFM46370 Repos: Tax Rules: Debtor Quasi-Repos: Examples,0.0,0.0
CFM46430,0.0,2.0,View changes,CFM46430 Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: No Income,0.0,0.0
CFM46440,0.0,2.0,View changes,CFM46440 Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: Gross-Paying,0.0,0.0
CFM50030,0.0,2.0,View changes,CFM50030 Derivative Contracts: Introduction: Scope,0.0,0.0
CFM50240,0.0,2.0,View changes,CFM50240 Commodity Contracts,0.0,0.0
CFM50730,0.0,2.0,View changes,CFM50730 Contracts Over Shares,0.0,0.0
CFM50740,3.0,5.0,View changes,CFM50740 Share-Based Contracts Always Within Part 7,3.0,3.0
CFM50810,0.0,1.0,View changes,CFM50810 Equity Derivatives: Condition E,0.0,0.0
CFM51020,0.0,1.0,View changes,CFM51020 How Amounts Are Taxed,0.0,0.0
CFM52060,0.0,2.0,View changes,CFM52060 Statutory Insolvency Arrangements,0.0,0.0
CFM52510,0.0,2.0,View changes,CFM52510 Introduction,0.0,0.0
CFM55020,0.0,2.0,View changes,CFM55020 Overview,0.0,0.0
CFM55210,0.0,2.0,View changes,CFM55210 Holders Of Convertible Or Share-Linked Securities: Convertible Securities: Introduction,0.0,0.0
CFM55290,0.0,2.0,View changes,CFM55290 Holders Of Convertible Or Share-Linked Securities: Share-Linked Securities,0.0,0.0
CFM55410,0.0,2.0,View changes,CFM55410 Issuers Of Convertible Or Share-Linked Securities: Introduction,0.0,0.0
CFM55420,0.0,2.0,View changes,CFM55420 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Deemed Option,0.0,0.0
CFM55470,0.0,2.0,View changes,CFM55470 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Cfds,0.0,0.0
CFM55490,0.0,2.0,View changes,CFM55490 Issuers Of Convertible Or Share-Linked Securities: 'Exactly Tracking Contract' - Example,0.0,0.0
CFM55510,0.0,2.0,View changes,CFM55510 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Equity Instruments,0.0,0.0
CFM56005,0.0,1.0,View changes,CFM56005 Overview Of Anti-Avoidance Rules,0.0,0.0
CFM56020,4.0,5.0,View changes,CFM56020 Taxing Meaning Of ‘Unallowable Purpose’,4.0,4.0
CFM56030,2.0,3.0,View changes,CFM56030 Unallowable Purposes: Allowance Of Accumulated Net Losses,2.0,2.0
CFM56100,0.0,2.0,View changes,CFM56100 Consideration Not Fully Recognised By Accounting Practice,0.0,0.0
CFM57041,2.0,4.0,View changes,CFM57041 Hedging: Change In Election Approach,2.0,2.0
CFM57071,3.0,5.0,View changes,CFM57071 Hedging: Default Approach,3.0,3.0
CFM57072,4.0,6.0,View changes,CFM57072 Hedging: Regulation 9A,4.0,4.0
CFM57075,5.0,7.0,View changes,"CFM57075 Hedging: Overview Of Regulations 7, 8 And 9",5.0,5.0
CFM57220,0.0,2.0,View changes,CFM57220 Hedging: Regulation 10: Examples,0.0,0.0
CFM57280,0.0,2.0,View changes,CFM57280 Hedging: Regulation 10: Ignoring Recycling,0.0,0.0
CFM57300,0.0,2.0,View changes,CFM57300 Hedging: Regulation 9: Scope,0.0,0.0
CFM57371,1.0,3.0,View changes,CFM57371 Hedging: Anti-Avoidance,1.0,1.0
CFM61120,0.0,2.0,View changes,CFM61120 Loan Relationships And Derivative Contracts: Giving Effect To Exchange Differences,0.0,0.0
CFM61140,0.0,2.0,View changes,CFM61140 Loan Relationships And Derivative Contracts: Exchange Differences In Reserves,0.0,0.0
CFM62210,0.0,2.0,View changes,CFM62210 Matching Under SSAP 20: Overview,0.0,0.0
CFM62230,0.0,2.0,View changes,CFM62230 Matching Under SSAP 20: Mandatory Matching For Tax Purposes,0.0,0.0
CFM62240,0.0,2.0,View changes,CFM62240 Matching Under SSAP 20: Use Of Currency Contracts,0.0,0.0
CFM62810,0.0,3.0,View changes,CFM62810 Bringing Amounts Back Into Account,0.0,0.0
CFM63010,0.0,3.0,View changes,CFM63010 Matching: Anti-Avoidance: ‘One-Way Bet’ Schemes: Overview,0.0,0.0
CFM63150,0.0,3.0,View changes,CFM63150 Matching: Anti-Avoidance: FA 2009: ‘One Way Exchange Effect’: Meaning Of ‘Amounts A And B’,0.0,0.0
CFM72380,0.0,2.0,View changes,CFM72380 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Note-Issuing Company,0.0,0.0
CFM72410,0.0,2.0,View changes,CFM72410 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Asset-Holding Company,0.0,0.0
CFM72450,0.0,2.0,View changes,CFM72450 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Warehouse Companies,0.0,0.0
CFM72570,0.0,2.0,View changes,CFM72570 Securitisation: Periods Beginning On Or After 1 January 2007: The Unallowable Purposes Rule,0.0,0.0
CFM72610,0.0,2.0,View changes,CFM72610 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Corporation Tax Charge: Applies Instead Of The Normal CT Rules,0.0,0.0
CFM72620,0.0,2.0,View changes,CFM72620 Securitisation: Periods Beginning On Or After 1 January 2007: Modifications To Commencement And Cessation Rules,0.0,0.0
CFM72650,0.0,2.0,View changes,CFM72650 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Modifications To Other Tax Rules: Capital Assets,0.0,0.0
CFM73160,0.0,2.0,View changes,CFM73160 Finance Charges,0.0,0.0
CFM73240,0.0,2.0,View changes,CFM73240 Partnership Finance Charges,0.0,0.0
CFM74310,0.0,2.0,View changes,CFM74310 Introduction,0.0,0.0
CFM74320,0.0,2.0,View changes,CFM74320 Taxation,0.0,0.0
CFM74330,0.0,2.0,View changes,CFM74330 Unallowable Purpose,0.0,0.0
CFM74430,0.0,2.0,View changes,CFM74430 Payments Made On Or After 1 January 2014: Introduction,0.0,0.0
CFM76040,0.0,2.0,View changes,CFM76040 Transition To IAS: Cases Where There Is No Prior Period Adjustment: Meaning Of ‘Carrying Value’,0.0,0.0
CFM77510,0.0,2.0,View changes,CFM77510 Schemes: Overview,0.0,0.0
CFM80020,0.0,2.0,View changes,CFM80020 Loan Relationships: Quick Guide To Converting From FA 1996 To CTA 2009,0.0,0.0
CFM80130,0.0,2.0,View changes,CFM80130 Meaning Of Generally Accepted Accounting Practice,0.0,0.0
CFM80230,0.0,2.0,View changes,CFM80230 Accruals Basis: Authorised Arrangements For Bad Debt: ‘Bad Debt Relief’,0.0,0.0
CFM81020,0.0,2.0,View changes,CFM81020 Consequences Of Connection,0.0,0.0
CFM81030,0.0,2.0,View changes,CFM81030 Connection Through Control,0.0,0.0
CFM81070,0.0,2.0,View changes,CFM81070 Late Interest And Discounted Securities,0.0,0.0
CFM81350,0.0,2.0,View changes,CFM81350 Relevant Net Debit,0.0,0.0
CFM82110,0.0,2.0,View changes,CFM82110 Convertibles Pre 2005: Introduction,0.0,0.0
CFM82120,0.0,2.0,View changes,CFM82120 Convertibles Pre 2005: What Are Convertibles,0.0,0.0
CFM82290,0.0,2.0,View changes,CFM82290 Convertibles Pre 2005: Ceasing To Qualify,0.0,0.0
CFM83200,0.0,2.0,View changes,CFM83200 Transitional Provisions: Para 4A Examples,0.0,0.0
CFM84020,0.0,2.0,View changes,CFM84020 GAAP,0.0,0.0
CFM90170,0.0,2.0,View changes,CFM90170 Overview: Commencement,0.0,0.0
CFM90240,0.0,2.0,View changes,CFM90240 Relevant Group Companies,0.0,0.0
CFM90250,0.0,2.0,View changes,CFM90250 UK Group Companies,0.0,0.0
CFM90410,0.0,2.0,View changes,CFM90410 Introduction,0.0,0.0
CFM90430,0.0,2.0,View changes,CFM90430 The Importance Of Accounting Policies,0.0,0.0
CFM90470,0.0,2.0,View changes,CFM90470 Deriving Amounts From Consolidated Financial Statements,0.0,0.0
CFM90630,0.0,2.0,View changes,CFM90630 UK Net Debt Derived From Financial Statements Of Group Companies,0.0,0.0
CFM90710,0.0,2.0,View changes,CFM90710 Definition Of Relevant Liabilities - Short And Long Term Borrowings,0.0,0.0
CFM90720,0.0,2.0,View changes,CFM90720 Definition Of Relevant Assets,0.0,0.0
CFM90820,0.0,2.0,View changes,CFM90820 Qualification Test Based On Income From Business Activities,0.0,0.0
CFM90830,0.0,2.0,View changes,CFM90830 Qualification Based On Business Activities Of The Worldwide Group Or The Group Companies,0.0,0.0
CFM90840,0.0,2.0,View changes,CFM90840 Qualification Affected By Losses On Activities Normally Reported On A Net Basis,0.0,0.0
CFM90870,0.0,2.0,View changes,CFM90870 Qualifying Activities,0.0,0.0
CFM90940,0.0,2.0,View changes,CFM90940 Trading Income Of A Worldwide Group,0.0,0.0
CFM91010,0.0,2.0,View changes,CFM91010 Introduction,0.0,0.0
CFM91030,0.0,2.0,View changes,CFM91030 Financing Expense Amounts Of A Relevant Group Company,0.0,0.0
CFM91070,0.0,2.0,View changes,CFM91070 Embedded Derivatives,0.0,0.0
CFM91110,0.0,2.0,View changes,CFM91110 Calculation Of Disallowance,0.0,0.0
CFM91210,0.0,2.0,View changes,CFM91210 Introduction,0.0,0.0
CFM91220,0.0,2.0,View changes,CFM91220 Tested Income Amount,0.0,0.0
CFM91230,0.0,2.0,View changes,CFM91230 Financing Income Of A UK Group Company,0.0,0.0
CFM91240,0.0,2.0,View changes,CFM91240 De Minimis Amount,0.0,0.0
CFM91310,0.0,1.0,View changes,CFM91310 Outline,0.0,0.0
CFM91320,0.0,1.0,View changes,CFM91320 Time Limit,0.0,0.0
