ChapterNumber,CharCountDiff,LevDistance,Link,Title
CFM21260,0.0,2.0,View changes,CFM21260 Liability And Equity: Compound Financial Instruments: Accounting Treatment
CFM21300,0.0,2.0,View changes,CFM21300 Offsetting: Overview
CFM21505,0.0,2.0,View changes,CFM21505 International Financial Reporting Standards: Overview
CFM21506,1.0,3.0,View changes,CFM21506 International Financial Reporting Standards: History Of IAS 32 And IAS 39
CFM21520,0.0,2.0,View changes,CFM21520 International Financial Reporting Standards: IAS 39: Classification Of Financial Assets And Financial Liabilities
CFM21610,0.0,2.0,View changes,CFM21610 International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets
CFM21640,0.0,2.0,View changes,CFM21640 Accounting For Corporate Finance: International Accounting Standards: IAS 39: Measurement Of Financial Assets: Amortised Cost
CFM21670,0.0,2.0,View changes,CFM21670 International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets: Impairment
CFM22510,4.0,5.0,View changes,CFM22510 Borrowers: Accounting Standards Overview
CFM22520,14.0,15.0,View changes,CFM22520 Borrowers: Accounting Standards: FRS 4
CFM22530,2.0,3.0,View changes,CFM22530 Borrowers: Accruals Accounting
CFM23010,0.0,1.0,View changes,CFM23010 FRS 102: Overview
CFM23015,6.0,7.0,View changes,CFM23015 FRS 102: History Of FRS 102
CFM23045,3.0,5.0,View changes,CFM23045 FRS 102: Measurement Of Basic Financial Instruments: Amortised Cost
CFM23068,1.0,3.0,View changes,CFM23068 FRS 102: Impairment: Accounting Treatment
CFM23075,1.0,3.0,View changes,CFM23075 FRS 102: Derecognition Of A Financial Asset
CFM23078,2.0,4.0,View changes,CFM23078 FRS 102: Derecognition Of A Financial Liability
CFM24200,0.0,2.0,View changes,CFM24200 What Is A Derivative Financial Instrument?
CFM24300,1.0,3.0,View changes,"CFM24300 Accounting For Derivatives Under IFRS, New UK GAAP And FRS 26"
CFM24430,3.0,5.0,View changes,CFM24430 Accounting For Interest Rate Swaps Held To Manage Interest Rate Risk Under Old UK GAAP (Excluding FRS 26)
CFM25080,0.0,2.0,View changes,CFM25080 Comparison Of Compound And Hybrid Financial Instruments
CFM26015,0.0,2.0,View changes,"CFM26015 Summary Of Differences Between SSAP 20 And FRS 23, IFRS And New UK GAAP"
CFM26030,0.0,2.0,View changes,CFM26030 Basic Principles: Initial Recognition Of Transactions
CFM26050,2.0,4.0,View changes,CFM26050 Basic Principles: Profit And Loss Account
CFM26060,0.0,2.0,View changes,CFM26060 SSAP 20: Recognition And The Accruals Concept
CFM26080,3.0,5.0,View changes,CFM26080 SSAP 20: Hedging A Trading Transaction With A Forward Contract
CFM26090,1.0,3.0,View changes,CFM26090 SSAP 20: Hedging A Non-Trading Transaction
CFM26100,0.0,2.0,View changes,CFM26100 SSAP 20: Speculative Currency Contracts
CFM26270,0.0,2.0,View changes,CFM26270 Foreign Operations: Temporal Method
CFM26290,29.0,31.0,View changes,CFM26290 Foreign Operations: Temporal Method: When To Use
CFM27015,1.0,3.0,View changes,CFM27015 Hedging: Development Of Hedge Accounting
CFM30110,0.0,2.0,View changes,CFM30110 A Brief History And A Short Guide
CFM30140,0.0,2.0,View changes,CFM30140 The Meaning Of ‘Loan Relationship’
CFM33120,0.0,2.0,View changes,CFM33120 GAAP: Amounts ‘Not Fully Recognised’ For Accounting Purposes
CFM33160,3053.0,7939.0,View changes,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability
CFM33170,0.0,2.0,View changes,CFM33170 GAAP: Amounts In Equity
CFM33204,0.0,2.0,View changes,CFM33204 Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: ‘Entitlement To Shares’
CFM33205,0.0,2.0,View changes,CFM33205 Credits Not Brought Into Account: Releases Of Debt: Debt/Equity Swaps: Debt For Equity Swaps On Or After 9 November 2009
CFM33280,0.0,2.0,View changes,CFM33280 Company Ceasing To Be Party To A Loan Relationship
CFM35010,0.0,2.0,View changes,CFM35010 Overview
CFM35030,0.0,2.0,View changes,CFM35030 A Summary Of The Key Rules
CFM35100,0.0,2.0,View changes,CFM35100 Connected Companies: Contents
CFM35120,0.0,2.0,View changes,CFM35120 Connected Companies: What Is Control?
CFM35170,0.0,2.0,View changes,CFM35170 Connected Companies: Use Of The Amortised Cost Basis
CFM35420,0.0,2.0,View changes,CFM35420 Debtors
CFM35440,0.0,2.0,View changes,CFM35440 Debtors: Deemed Releases Of Impaired Debt: Tax Treatment
CFM35540,0.0,2.0,View changes,CFM35540 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Corporate Rescue Exception
CFM35560,0.0,3.0,View changes,CFM35560 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 14 October 2009: The Equity-For-Debt Exception
CFM35590,0.0,4.0,View changes,CFM35590 Debtors: Deemed Releases Of Impaired Debt: Deemed Releases On Or After 27 February 2012: Anti-Avoidance
CFM35660,0.0,4.0,View changes,CFM35660 Amount Of Restriction: Effect Of Releases
CFM35810,0.0,3.0,View changes,CFM35810 Overview
CFM35860,0.0,3.0,View changes,CFM35860 The Four Cases
CFM36080,0.0,3.0,View changes,CFM36080 Partnerships: Company Partners And Connected Debtors
CFM37320,0.0,4.0,View changes,CFM37320 Special And Close Companies: Aps Beginning On Or After 1 April 2009
CFM37480,0.0,2.0,View changes,CFM37480 When HMRC Will Satisfy A Repayment Claim Using Funding Bonds
CFM37610,0.0,2.0,View changes,CFM37610 ‘Hybrid’ Securities With Embedded Derivatives: Overview
CFM37620,0.0,2.0,View changes,CFM37620 ‘Hybrid’ Securities With Embedded Derivatives: What Is A ‘Hybrid Security’?
CFM37630,0.0,2.0,View changes,CFM37630 ‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Bifurcation
CFM37640,0.0,2.0,View changes,CFM37640 ‘Hybrid’ Securities With Embedded Derivatives: Accounting Treatment: Mechanics Of Bifurcation
CFM37690,0.0,4.0,View changes,CFM37690 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Securities - Holders
CFM37700,0.0,3.0,View changes,CFM37700 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Convertible Securities - Issuers
CFM37710,0.0,4.0,View changes,CFM37710 'Hybrid' Securities With Embedded Derivatives: Pre 1 January 2005 Asset-Linked Securities - Issuers
CFM38020,0.0,3.0,View changes,CFM38020 Overview: Other Anti-Avoidance Rules
CFM38100,0.0,2.0,View changes,CFM38100 Unallowable Purpose: Contents
CFM38120,0.0,2.0,View changes,CFM38120 Definition
CFM38140,0.0,2.0,View changes,CFM38140 Tax Avoidance Purpose
CFM38510,0.0,3.0,View changes,CFM38510 Forex: Overview
CFM38570,0.0,3.0,View changes,CFM38570 Forex: Non-Arm’S Length Transactions: Non Arm's Length Creditor Relationships: Meaning Of ‘Corresponding Debtor Relationship’
CFM38580,0.0,3.0,View changes,CFM38580 Forex: Non-Arm’S Length Transactions: Non-Arm’S Length Creditor Relationships: Exception Where Loan Exceeds Arm’S Length Amount
CFM39000,0.0,3.0,View changes,CFM39000 Other Rules
CFM39010,0.0,3.0,View changes,CFM39010 Overview Of Other Anti-Avoidance Rules
CFM39030,0.0,3.0,View changes,CFM39030 Artificial Payments Of Interest: Sole Or Main Benefit
CFM39035,1.0,4.0,View changes,CFM39035 Connected Parties Deriving Benefit From Creditor Relationships
CFM39050,0.0,2.0,View changes,CFM39050 Reset Bonds: Mirror Bond Scheme
CFM39110,0.0,2.0,View changes,CFM39110 Index-Linked Gilt-Edged Securities: Introduction
CFM39160,0.0,2.0,View changes,CFM39160 Index-Linked Gilt-Edged Securities: Economic Profits And Losses
CFM39170,0.0,2.0,View changes,CFM39170 Index-Linked Gilt-Edged Securities: The Relevant Group
CFM42040,0.0,2.0,View changes,CFM42040 The Main Rules
CFM42100,22.0,2748.0,View changes,CFM42100 Exchange Gains And Losses
CFM43040,0.0,2.0,View changes,CFM43040 Qualifying Investments
CFM44210,0.0,2.0,View changes,CFM44210 Investment Bond Arrangements: Conditions: Accounting Test
CFM44230,0.0,2.0,View changes,CFM44230 Investment Bond Arrangements: Tax Treatment
CFM44300,2.0,4.0,View changes,CFM44300 Loan Relationships: Other Tax Rules: Distributions
CFM45080,0.0,2.0,View changes,CFM45080 Shares With Guaranteed Returns: Outstanding Third Party Obligations: Meaning Of Interest Like Investment
CFM45090,1.0,3.0,View changes,CFM45090 Shares With Guaranteed Returns: Outstanding Third Party Obligations: Comparison With Commercial Rate Of Interest
CFM45150,0.0,2.0,View changes,CFM45150 Shares With Guaranteed Returns: Non-Qualifying Shares: The ‘Increasing Value Condition’
CFM45200,0.0,2.0,View changes,CFM45200 Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition
CFM45240,0.0,2.0,View changes,CFM45240 Shares With Guaranteed Returns: Non-Qualifying Shares: The Redemption Return Condition: Unallowable Purposes Test
CFM45250,0.0,2.0,View changes,CFM45250 Shares With Guaranteed Returns: Non-Qualifying Shares: The Associated Transactions Condition
CFM46050,0.0,1.0,View changes,CFM46050 Manufactured Interest
CFM46350,54.0,56.0,View changes,CFM46350 Repos: Tax Rules: Debtor Repos
CFM46370,0.0,2.0,View changes,CFM46370 Repos: Tax Rules: Debtor Quasi-Repos: Examples
CFM46430,0.0,2.0,View changes,CFM46430 Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: No Income
CFM46440,0.0,2.0,View changes,CFM46440 Repos: Tax Rules: Debtor And Debtor Quasi-Repos: Further Examples: Gross-Paying
CFM50030,0.0,2.0,View changes,CFM50030 Derivative Contracts: Introduction: Scope
CFM50240,0.0,2.0,View changes,CFM50240 Commodity Contracts
CFM50730,0.0,2.0,View changes,CFM50730 Contracts Over Shares
CFM50740,3.0,5.0,View changes,CFM50740 Share-Based Contracts Always Within Part 7
CFM50810,0.0,1.0,View changes,CFM50810 Equity Derivatives: Condition E
CFM51020,0.0,1.0,View changes,CFM51020 How Amounts Are Taxed
CFM52060,0.0,2.0,View changes,CFM52060 Statutory Insolvency Arrangements
CFM52510,0.0,2.0,View changes,CFM52510 Introduction
CFM55020,0.0,2.0,View changes,CFM55020 Overview
CFM55210,0.0,2.0,View changes,CFM55210 Holders Of Convertible Or Share-Linked Securities: Convertible Securities: Introduction
CFM55290,0.0,2.0,View changes,CFM55290 Holders Of Convertible Or Share-Linked Securities: Share-Linked Securities
CFM55410,0.0,2.0,View changes,CFM55410 Issuers Of Convertible Or Share-Linked Securities: Introduction
CFM55420,0.0,2.0,View changes,CFM55420 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Deemed Option
CFM55470,0.0,2.0,View changes,CFM55470 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Cfds
CFM55490,0.0,2.0,View changes,CFM55490 Issuers Of Convertible Or Share-Linked Securities: 'Exactly Tracking Contract' - Example
CFM55510,0.0,2.0,View changes,CFM55510 Issuers Of Convertible Or Share-Linked Securities: Securities Containing Equity Instruments
CFM56005,0.0,1.0,View changes,CFM56005 Overview Of Anti-Avoidance Rules
CFM56020,4.0,5.0,View changes,CFM56020 Taxing Meaning Of ‘Unallowable Purpose’
CFM56030,2.0,3.0,View changes,CFM56030 Unallowable Purposes: Allowance Of Accumulated Net Losses
CFM56100,0.0,2.0,View changes,CFM56100 Consideration Not Fully Recognised By Accounting Practice
CFM57041,2.0,4.0,View changes,CFM57041 Hedging: Change In Election Approach
CFM57071,3.0,5.0,View changes,CFM57071 Hedging: Default Approach
CFM57072,4.0,6.0,View changes,CFM57072 Hedging: Regulation 9A
CFM57075,5.0,7.0,View changes,"CFM57075 Hedging: Overview Of Regulations 7, 8 And 9"
CFM57220,0.0,2.0,View changes,CFM57220 Hedging: Regulation 10: Examples
CFM57280,0.0,2.0,View changes,CFM57280 Hedging: Regulation 10: Ignoring Recycling
CFM57300,0.0,2.0,View changes,CFM57300 Hedging: Regulation 9: Scope
CFM57371,1.0,3.0,View changes,CFM57371 Hedging: Anti-Avoidance
CFM61120,0.0,2.0,View changes,CFM61120 Loan Relationships And Derivative Contracts: Giving Effect To Exchange Differences
CFM61140,0.0,2.0,View changes,CFM61140 Loan Relationships And Derivative Contracts: Exchange Differences In Reserves
CFM62210,0.0,2.0,View changes,CFM62210 Matching Under SSAP 20: Overview
CFM62230,0.0,2.0,View changes,CFM62230 Matching Under SSAP 20: Mandatory Matching For Tax Purposes
CFM62240,0.0,2.0,View changes,CFM62240 Matching Under SSAP 20: Use Of Currency Contracts
CFM62810,0.0,3.0,View changes,CFM62810 Bringing Amounts Back Into Account
CFM63010,0.0,3.0,View changes,CFM63010 Matching: Anti-Avoidance: ‘One-Way Bet’ Schemes: Overview
CFM63150,0.0,3.0,View changes,CFM63150 Matching: Anti-Avoidance: FA 2009: ‘One Way Exchange Effect’: Meaning Of ‘Amounts A And B’
CFM72380,0.0,2.0,View changes,CFM72380 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Note-Issuing Company
CFM72410,0.0,2.0,View changes,CFM72410 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Asset-Holding Company
CFM72450,0.0,2.0,View changes,CFM72450 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Warehouse Companies
CFM72570,0.0,2.0,View changes,CFM72570 Securitisation: Periods Beginning On Or After 1 January 2007: The Unallowable Purposes Rule
CFM72610,0.0,2.0,View changes,CFM72610 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: The Corporation Tax Charge: Applies Instead Of The Normal CT Rules
CFM72620,0.0,2.0,View changes,CFM72620 Securitisation: Periods Beginning On Or After 1 January 2007: Modifications To Commencement And Cessation Rules
CFM72650,0.0,2.0,View changes,CFM72650 Securitisation: Periods Beginning On Or After 1 January 2007: The Regulations: Modifications To Other Tax Rules: Capital Assets
CFM73160,0.0,2.0,View changes,CFM73160 Finance Charges
CFM73240,0.0,2.0,View changes,CFM73240 Partnership Finance Charges
CFM74310,0.0,2.0,View changes,CFM74310 Introduction
CFM74320,0.0,2.0,View changes,CFM74320 Taxation
CFM74330,0.0,2.0,View changes,CFM74330 Unallowable Purpose
CFM74430,0.0,2.0,View changes,CFM74430 Payments Made On Or After 1 January 2014: Introduction
CFM76040,0.0,2.0,View changes,CFM76040 Transition To IAS: Cases Where There Is No Prior Period Adjustment: Meaning Of ‘Carrying Value’
CFM77510,0.0,2.0,View changes,CFM77510 Schemes: Overview
CFM80020,0.0,2.0,View changes,CFM80020 Loan Relationships: Quick Guide To Converting From FA 1996 To CTA 2009
CFM80130,0.0,2.0,View changes,CFM80130 Meaning Of Generally Accepted Accounting Practice
CFM80230,0.0,2.0,View changes,CFM80230 Accruals Basis: Authorised Arrangements For Bad Debt: ‘Bad Debt Relief’
CFM81020,0.0,2.0,View changes,CFM81020 Consequences Of Connection
CFM81030,0.0,2.0,View changes,CFM81030 Connection Through Control
CFM81070,0.0,2.0,View changes,CFM81070 Late Interest And Discounted Securities
CFM81350,0.0,2.0,View changes,CFM81350 Relevant Net Debit
CFM82110,0.0,2.0,View changes,CFM82110 Convertibles Pre 2005: Introduction
CFM82120,0.0,2.0,View changes,CFM82120 Convertibles Pre 2005: What Are Convertibles
CFM82290,0.0,2.0,View changes,CFM82290 Convertibles Pre 2005: Ceasing To Qualify
CFM83200,0.0,2.0,View changes,CFM83200 Transitional Provisions: Para 4A Examples
CFM84020,0.0,2.0,View changes,CFM84020 GAAP
CFM90170,0.0,2.0,View changes,CFM90170 Overview: Commencement
CFM90240,0.0,2.0,View changes,CFM90240 Relevant Group Companies
CFM90250,0.0,2.0,View changes,CFM90250 UK Group Companies
CFM90410,0.0,2.0,View changes,CFM90410 Introduction
CFM90430,0.0,2.0,View changes,CFM90430 The Importance Of Accounting Policies
CFM90470,0.0,2.0,View changes,CFM90470 Deriving Amounts From Consolidated Financial Statements
CFM90630,0.0,2.0,View changes,CFM90630 UK Net Debt Derived From Financial Statements Of Group Companies
CFM90710,0.0,2.0,View changes,CFM90710 Definition Of Relevant Liabilities - Short And Long Term Borrowings
CFM90720,0.0,2.0,View changes,CFM90720 Definition Of Relevant Assets
CFM90820,0.0,2.0,View changes,CFM90820 Qualification Test Based On Income From Business Activities
CFM90830,0.0,2.0,View changes,CFM90830 Qualification Based On Business Activities Of The Worldwide Group Or The Group Companies
CFM90840,0.0,2.0,View changes,CFM90840 Qualification Affected By Losses On Activities Normally Reported On A Net Basis
CFM90870,0.0,2.0,View changes,CFM90870 Qualifying Activities
CFM90940,0.0,2.0,View changes,CFM90940 Trading Income Of A Worldwide Group
CFM91010,0.0,2.0,View changes,CFM91010 Introduction
CFM91030,0.0,2.0,View changes,CFM91030 Financing Expense Amounts Of A Relevant Group Company
CFM91070,0.0,2.0,View changes,CFM91070 Embedded Derivatives
CFM91110,0.0,2.0,View changes,CFM91110 Calculation Of Disallowance
CFM91210,0.0,2.0,View changes,CFM91210 Introduction
CFM91220,0.0,2.0,View changes,CFM91220 Tested Income Amount
CFM91230,0.0,2.0,View changes,CFM91230 Financing Income Of A UK Group Company
CFM91240,0.0,2.0,View changes,CFM91240 De Minimis Amount
CFM91310,0.0,1.0,View changes,CFM91310 Outline
CFM91320,0.0,1.0,View changes,CFM91320 Time Limit
CFM91340,0.0,1.0,View changes,CFM91340 Which Group Companies Should Be Included
CFM91420,0.0,2.0,View changes,CFM91420 Appointing An Authorised Company For Allocating Disallowances
CFM91430,0.0,2.0,View changes,CFM91430 Appointment Of An Authorised Company For Allocating Exemptions
CFM91440,0.0,2.0,View changes,CFM91440 Acting On Behalf Of Group Companies
CFM91450,0.0,2.0,View changes,CFM91450 Appointment To Cover Both Statements
CFM91470,0.0,2.0,View changes,CFM91470 Initial Appointment And Continued Effect
CFM91480,0.0,2.0,View changes,CFM91480 Revocation
CFM91610,0.0,2.0,View changes,CFM91610 Outline For Disallowance Statements
CFM91690,0.0,2.0,View changes,CFM91690 Submission Of Revised Statement
CFM92010,0.0,2.0,View changes,CFM92010 Intra-Group Short-Term Debt: Introduction
CFM92020,0.0,2.0,View changes,CFM92020 Intra-Group Short-Term Debt: Excluding Finance Expenses
CFM92050,0.0,2.0,View changes,CFM92050 Intra-Group Short-Term Debt: What Is A Short-Term Finance Arrangement?
CFM92240,0.0,2.0,View changes,CFM92240 Management Expenses
CFM92485,0.0,2.0,View changes,CFM92485 The DDS Mismatches
CFM92510,0.0,1.0,View changes,CFM92510 Introduction
CFM92520,0.0,1.0,View changes,CFM92520 Exemption For Group Treasury Companies
CFM92530,0.0,1.0,View changes,CFM92530 Group Treasury Companies: Periods Of Account Beginning Before11 December 2012
CFM92570,0.0,2.0,View changes,CFM92570 Charities
CFM92725,0.0,2.0,View changes,CFM92725 Debt Cap: Anti-Avoidance Rules: Main Rules: Calculating The Counterfactual
CFM92738,0.0,2.0,View changes,CFM92738 Debt Cap: Anti-Avoidance Rules: Main Rules: Excluded Schemes: De Minimis Amount
CFM92820,0.0,2.0,View changes,CFM92820 Financing Income Amounts Potentially Involved
CFM92830,0.0,2.0,View changes,CFM92830 Priority Of Application
CFM93010,0.0,2.0,View changes,CFM93010 Deduction Of Tax
CFM95000,31.0,33.0,View changes,CFM95000 Interest Restriction
CFM95200,430.0,432.0,View changes,CFM95200 Interest Restriction: Core Rules
CFM95210,25.0,27.0,View changes,CFM95210 Rules: Summary Of The Rules - The Company And The Group
CFM95600,787.0,790.0,View changes,CFM95600 Interest Restriction: Tax-Interest
CFM96820,316.0,318.0,View changes,CFM96820 Ventures: Interest Allowance (Consolidated Partnerships) Election
CFM96850,240.0,242.0,View changes,CFM96850 Ventures: Group Ratio (Blended) Election
CFM96910,387.0,389.0,View changes,CFM96910 Ventures: Qualifying Infastructure Company JV
CFM97100,2010.0,2039.0,View changes,CFM97100 Interest Restriction: Public Infrastructure
CFM97500,203.0,205.0,View changes,CFM97500 Interest Restriction: Banking And Insurance Groups
CFM97700,390.0,392.0,View changes,CFM97700 Interest Restriction: Property And Reits
CFM97800,150.0,173.0,View changes,CFM97800 Interest Restriction: Leasing
CFM97900,93.0,95.0,View changes,CFM97900 Interest Restriction: Special Regimes
CFM98000,99.0,101.0,View changes,CFM98000 Interest Restriction: Anti-Avoidance
CFM98200,303.0,306.0,View changes,CFM98200 Interest Restriction: Carry Forward Rules
CFM98300,288.0,291.0,View changes,CFM98300 Interest Restriction: Commencement Rules
CFM98400,62.0,69.0,View changes,CFM98400 Interest Restriction: Administration
CFM98420,332.0,335.0,View changes,CFM98420 Administration: Reporting Requirements
CFM98630,1017.0,1020.0,View changes,CFM98630 Administration: UK Group Company
CFM98720,1694.0,1695.0,View changes,CFM98720 Administration: Enquiry Procedure
CFM98890,964.0,966.0,View changes,CFM98890 Administration: Record Retention And Information Powers
CFM98980,1440.0,1442.0,View changes,CFM98980 Administration: Penalties
CG-APP1,1.0,5.0,View changes,CG-APP1 Abbreviations Used By Shares And Assets Valuation
CG-APP11,1.0,5.0,View changes,"CG-APP11 Meaning Of Ordinary Share Capital (Published As Revenue & Customs Brief 87/09, January 2010)"
CG-APP4,1.0,5.0,View changes,CG-APP4 Inheritance Tax
CG-APP8,1.0,6.0,View changes,CG-APP8 HMRC Guidance On Avoidance Through The Creation And Use Of Capital Losses By Companies
CG-APP9,1.0,7.0,View changes,CG-APP9 Capital Gains Tax: Avoidance Through The Creation And Use Of Capital Losses
CG14480P,0.0,2.0,View changes,CG14480 Capital Gains Manual: Computation: Consideration For Disposal: Contents
